SITE_ID,Lat,Lon,DOC_Median,TN_Median,TP_Median,TNtoTP_Median,TPtoTN
NLA06608-0126,47.1930582,-99.3242436,34.305,6373.5,555.5,11.46790507,0.087199885
NLA06608-0127,34.1536462,-109.3063643,11,641,19,33.73684211,0.029641186
NLA06608-0128,48.7528914,-109.2416928,17.225,2656,278,13.04188596,0.076676027
NLA06608-0129,48.2124098,-114.5994561,2.55,129,3,85.8,0.011655012
NLA06608-0130,31.4013844,-111.0870104,10.24,2234,36,62.05555556,0.016114593
NLA06608-0132,36.2087192,-109.0936327,5.96,466,56,8.321428571,0.120171674
NLA06608-0134,41.880003,-73.0405632,2.21,156,4,39,0.025641026
NLA06608-0137,38.1485581,-119.3636363,0.9,82,3,27.33333333,0.036585366
NLA06608-0139,41.1720516,-85.9379419,8.21,763,33,23.12121212,0.043250328
NLA06608-0140,39.639176,-95.4527058,7.53,1158,173,6.693641618,0.14939551
NLA06608-0141,39.4162269,-75.6887087,3.4,975,73,13.35616438,0.074871795
NLA06608-0142,45.9979116,-89.5436903,3.84,293,7,41.85714286,0.023890785
NLA06608-0144,33.3952512,-99.3913826,6.05,824.5,68.5,12.0293052,0.083130321
NLA06608-0148,39.3486051,-86.1080157,3.57,342,16,21.375,0.046783626
NLA06608-0149,41.6334027,-76.8408104,3.49,220,12,18.33333333,0.054545455
NLA06608-0150,44.8495598,-69.2311707,4.27,366,16,22.875,0.043715847
NLA06608-0152,34.5944072,-97.6863648,5.35,521,21,24.80952381,0.040307102
NLA06608-0153,37.2141836,-78.6253871,2.91,656,34,19.29411765,0.051829268
NLA06608-0155,42.3732885,-88.1271485,11.98,1520,114,13.33333333,0.075
NLA06608-0158,45.8810058,-91.2499453,3.81,651,16,40.6875,0.024577573
NLA06608-0161,28.1024337,-82.7211452,10.72,1069,30,35.63333333,0.028063611
NLA06608-0162,42.7335669,-72.1032105,5.03,244,14,17.42857143,0.057377049
NLA06608-0167,44.9419591,-94.0319128,23.135,15037.5,1122.5,13.40800884,0.07458229
NLA06608-0168,37.7582231,-94.8539232,6.56,866,61,14.19672131,0.070438799
NLA06608-0169,38.5172543,-111.5318192,2.64,539.5,64,9.169537482,0.109056755
NLA06608-0170,43.9911006,-86.1068888,6.94,780,8,97.5,0.01025641
NLA06608-0173,33.0733313,-115.5092281,12.72,2218,57,38.9122807,0.025698828
NLA06608-0174,46.2521236,-96.0363618,8.725,902.5,16,57.25303644,0.017466323
NLA06608-0175,39.6810204,-84.6870539,4,698,55,12.69090909,0.078796562
NLA06608-0176,35.1423948,-90.4577985,5.64,848,207,4.096618357,0.244103774
NLA06608-0177,43.8920364,-73.0523234,3.59,177,6,29.5,0.033898305
NLA06608-0179,44.3645622,-101.0545158,66.945,6597,236,27.62857715,0.036194408
NLA06608-0180,34.5189406,-98.8813287,5.9,721,61,11.81967213,0.084604716
NLA06608-0181,37.788611,-119.0740544,5.06,514,6,85.66666667,0.011673152
NLA06608-0183,45.3262471,-92.4249623,3.73,907,68,13.33823529,0.074972437
NLA06608-0184,38.8346196,-94.7490051,4.65,1049,100,10.49,0.095328885
