SITE_ID,Lat,Lon,DOC_Median,TN_Median,TP_Median,TNtoTP_Median,TPtoTN
NWCA16-1281,37.26365,-120.7523,16.6,13.3,2150,0.801204819,1.248120301
NWCA16-1298,40.06908,-120.26296,2.02,0.443,122,0.219306931,4.559819407
NWCA16-1303,41.62983,-120.27531,2.4,0.37,80,0.154166667,6.486486472
NWCA16-1308,40.84381,-124.08006,10.6,1.5,56,0.141509434,7.066666665
NWCA16-1311,38.19569,-122.0125,33.5,2.32,174,0.069253731,14.43965524
NWCA16-1466,39.264,-106.2538,5.72,0.512,38,0.08951049,11.17187494
NWCA16-1470,39.25726,-106.25648,2.04,28.9,15,14.16666667,0.070588235
NWCA16-1471,37.35736,-104.79102,NA,0.389,55,NA,NA
NWCA16-1475,40.20965,-105.87671,13.7,0.659,178,0.04810219,20.78907426
NWCA16-1476,39.91195,-105.87337,8.16,3.7,346,0.453431373,2.205405403
NWCA16-1478,37.94527,-108.00763,6.1,0.377,270,0.061803279,16.18037127
NWCA16-1482,40.59554,-106.43311,9.54,0.496,160,0.051991614,19.23387106
NWCA16-1483,40.10499,-106.59307,3.18,0.22,34,0.06918239,14.45454544
NWCA16-1486,40.59145,-106.4425,14.9,0.757,96,0.050805369,19.6829591
NWCA16-1492,39.61736,-105.94992,3.84,0.334,62,0.086979167,11.49700594
NWCA16-1493,37.39729,-105.53799,9.54,0.605,54,0.063417191,15.76859499
NWCA16-1499,40.67759,-107.17379,12.5,1.05,122,0.084,11.9047619
NWCA16-1502,40.6641,-106.5938,3.95,0.319,34,0.080759494,12.38244509
NWCA16-1504,39.00528,-106.89394,0.646,26.2,8,40.55727554,0.024656489
NWCA16-1508,39.50606,-105.87259,1.02,0.34,26,0.333333333,3.000000003
NWCA16-1510,40.22137,-106.20972,3.26,0.292,46,0.089570552,11.16438358
NWCA16-1513,37.68405,-106.91101,4.31,4.7,154,1.090487239,0.917021277
NWCA16-1518,40.65417,-106.59856,21.8,1.05,65,0.048165138,20.7619046
NWCA16-1524,39.47042,-106.60068,1.09,0.26,17,0.23853211,4.192307694
NWCA16-1526,40.59128,-106.42725,18.1,0.884,86,0.048839779,20.47511312
NWCA16-1604,41.2666,-72.502585,10.915,0.711,70,0.081156308,12.32190117
NWCA16-1605,41.637135,-73.029895,9.56,13.697,42.5,1.903916667,0.525233072
NWCA16-1606,41.262439,-72.728609,11.5,0.996,176,0.086608696,11.54618469
NWCA16-1607,41.64188,-73.03163,4.04,0.536,72,0.132673267,7.537313451
NWCA16-1608,41.82228,-72.74297,4.82,0.764,196,0.158506224,6.308900526
NWCA16-1610,41.32847,-72.01842,14.2,0.68,48,0.047887324,20.88235292
NWCA16-1611,41.275985,-72.505745,23.2,0.67,190,0.02887931,34.62686609
NWCA16-1632,39.42808,-75.573705,11.75,1.36,555,0.118708537,8.423994007
NWCA16-1633,39.38176,-75.540135,10.04,1.975,375,0.197790039,5.05586635
NWCA16-1637,39.01894,-75.34302,53.8,3.99,900,0.074163569,13.48370923
NWCA16-1638,39.59539,-75.57898,9.61,0.74,400,0.077003122,12.98648644
NWCA16-1641,38.614539,-75.085939,14.5,1.72,162,0.11862069,8.430232534
NWCA16-1642,39.43144,-75.57058,6.31,1.65,57,0.261489699,3.824242423
NWCA16-1646,39.26669,-75.47264,46,4.3,820,0.093478261,10.6976744
NWCA16-1653,38.61508,-75.08765,9.96,2.64,420,0.265060241,3.772727272
NWCA16-1694,27.14471,-80.42191,61.65,3.97,1700,0.064626259,15.47358636
NWCA16-1695,24.5931,-81.66269,6.005,1.0775,16.5,0.165273985,6.050559034
NWCA16-1697,30.717543,-81.5274,9.83,0.427,43,0.043438454,23.02107713
NWCA16-1699,25.19975,-80.35085,49.4,3.19,46,0.064574899,15.48589337
NWCA16-1700,26.33246,-81.83835,14.9,0.871,68,0.058456376,17.10677378
NWCA16-1703,26.31843,-80.39838,31.4,1.73,36,0.055095541,18.15028915
NWCA16-1704,30.15131,-85.04414,14.3,1.2,28,0.083916084,11.91666665
NWCA16-1710,28.77857,-82.6553,5.27,0.267,33,0.050664137,19.73782757
NWCA16-1713,26.51684,-80.28929,17.6,0.607,13,0.034488636,28.99505797
NWCA16-1717,25.91327,-81.23486,11.7,0.644,8,0.055042735,18.16770188
NWCA16-1718,30.50712,-82.30573,67.5,3.26,90,0.048296296,20.7055216
NWCA16-1721,27.29791,-80.92333,25.9,1.57,18,0.060617761,16.49681518
NWCA16-1732,26.08063,-81.39675,20.4,0.685,44,0.033578431,29.78102223
NWCA16-1737,28.88022,-80.88547,32.3,2.72,505,0.084210526,11.87500004
NWCA16-1738,30.29189,-84.93733,26,0.824,38,0.031692308,31.55339775
NWCA16-1740,29.95846,-84.83928,55.5,1.29,30,0.023243243,43.02325626
NWCA16-1741,27.87518071,-82.61936697,40.5,3.71,104,0.091604938,10.91644208
NWCA16-1748,25.98845,-81.58626,35.9,1.11,32,0.03091922,32.3423424
NWCA16-1756,29.3159,-83.12112,9.35,1.69,75,0.180748663,5.532544382
NWCA16-1765,27.15289,-80.42014,40.5,3.94,1550,0.097283951,10.27918778
NWCA16-1773,27.1207,-82.08588,36.2,2.7,150,0.074585635,13.40740747
NWCA16-1774,28.784298,-82.664801,6.9,0.5,22,0.072463768,13.80000002
NWCA16-1786,30.42826,-84.1727,12.8,1.91,250,0.14921875,6.701570681
NWCA16-1789,27.33519,-81.50244,26,1.36,74,0.052307692,19.11764717
NWCA16-1796,26.22093,-81.24855,17.9,0.785,17,0.043854749,22.80254756
NWCA16-1798,30.71058,-81.52877,8.72,0.736,100,0.08440367,11.84782605
NWCA16-1805,27.88617,-82.63551,11.7,3.78,590,0.323076923,3.095238096
NWCA16-1821,26.95762,-82.16283,29,1.09,68,0.037586207,26.60550451
NWCA16-1822,28.2569,-81.51746,41.7,0.829,162,0.019880096,50.30156796
NWCA16-1854,29.55429,-82.12983,45,1.05,600,0.023333333,42.85714347
NWCA16-1861,26.13458,-80.65317,12.3,0.545,19,0.044308943,22.56880739
NWCA16-1873,26.13549,-80.788511,16.6,0.893,16,0.053795181,18.58902566
NWCA16-1874,30.36739,-81.51978,8.69,1.48,430,0.170310702,5.87162162
NWCA16-1914,30.237,-84.78982,75.5,1.1,26,0.014569536,68.63636563
NWCA16-1916,29.93009,-84.64278,64.1,3.22,30,0.050234009,19.90683244
NWCA16-1922,27.91633,-81.0981,43.9,2.02,22,0.046013667,21.73267347
NWCA16-1926,30.31193,-82.44767,81.1,1.9,62,0.023427867,42.68421022
NWCA16-1941,26.95328,-80.38625,17.5,1.01,5,0.057714286,17.32673259
NWCA16-1995,31.942625,-81.084725,8.295,0.602,178,0.071995724,13.88971388
NWCA16-1996,31.658345,-81.387015,25.7,1.4225,101,0.053680877,18.6286079
NWCA16-1997,32.02374,-81.01541,6.04,0.881,72,0.145860927,6.855845637
NWCA16-2003,32.13518,-81.13022,16.7,1.87,386,0.111976048,8.930481276
NWCA16-2004,30.6292,-82.84422,63.8,1.2,16,0.018808777,53.16666788
NWCA16-2006,31.82649,-81.6675,37.4,1.09,16,0.029144385,34.31192664
NWCA16-2010,32.60603,-81.68256,7.08,1.14,42,0.161016949,6.210526322
NWCA16-2011,31.55024,-83.634455,16.4,0.895,65,0.054573171,18.32402226
NWCA16-2012,31.51026,-82.00173,9.2,0.578,46,0.062826087,15.91695501
NWCA16-2013,32.63293,-84.10318,4.85,0.746,NA,0.153814433,6.501340482
NWCA16-2014,31.56938,-81.17817,9.17,2.61,565,0.284623773,3.513409964
NWCA16-2015,31.64521,-82.13514,144,2.14,64,0.014861111,67.28972013
NWCA16-2016,31.00484,-81.63503,13.3,1.43,282,0.107518797,9.3006993
NWCA16-2017,32.23571,-81.99211,31.6,1.21,110,0.038291139,26.11570264
NWCA16-2018,33.23494,-82.17668,6.44,1.13,145,0.175465839,5.699115028
NWCA16-2021,32.44732,-82.8183,34.8,2.3,370,0.066091954,15.13043479
NWCA16-2024,31.53951,-81.70054,19.1,1.05,21,0.054973822,18.19047619
NWCA16-2026,32.32425,-81.54015,24.8,2.75,138,0.110887097,9.0181818
NWCA16-2030,31.65336,-81.14822,5.16,0.995,132,0.192829457,5.185929658
NWCA16-2115,41.22901,-91.1266,33.4,1.68,2000,0.050299401,19.88095246
NWCA16-2116,41.21609,-91.09962,12.3,0.947,2200,0.07699187,12.98838436
NWCA16-2117,43.27388,-93.46091,23.9,3.3,1300,0.138075314,7.242424232
NWCA16-2118,43.1829,-94.76733333,15.7,6.1,515,0.388535032,2.573770491
NWCA16-2123,41.21577,-91.12385,9.6,2.62,460,0.272916667,3.664122133
NWCA16-2126,41.78091,-90.4991,8.63,3.15,500,0.365005794,2.739682538
NWCA16-2128,43.03156,-91.41153,3.68,9.64,216,2.619565217,0.381742739
NWCA16-2136,43.29636,-91.90845,3.63,13.7,56,3.774104683,0.264963504
NWCA16-2144,41.23336,-91.11358,7.88,2.9,186,0.368020305,2.717241376
NWCA16-2162,44.39772,-115.62051,1.3,0.338,48,0.26,3.846153846
NWCA16-2168,44.74653,-115.4434,1.34,0.338,40,0.252238806,3.964497041
NWCA16-2174,46.65616,-115.3884,1.62,0.253,30,0.15617284,6.403162035
NWCA16-2175,43.53947,-116.61368,5.12,2.08,158,0.40625,2.461538462
NWCA16-2180,44.53537,-112.24816,9.96,1.21,262,0.121485944,8.231404943
NWCA16-2182,48.96064,-116.17693,16.2,0.881,31,0.054382716,18.38819525
NWCA16-2183,42.12503,-114.98568,3.55,0.51,100,0.143661972,6.960784306
NWCA16-2190,46.69302,-115.7587,1.74,0.59,80,0.33908046,2.94915254
NWCA16-2194,47.48333,-116.59384,16.3,1.26,108,0.077300613,12.93650802
NWCA16-2195,44.88068333,-116.1309,2.84,0.311,37,0.109507042,9.131832819
