UniqueLakeName,Lat,Lon,DOC_Median,TN_Median,TP_Median,TNtoTP_Median,pH,TPtoTN
L8067,54.98567,25.21661,NA,0.8,0.13,20,NA,0.05
L8068,55.05505,9.305679,NA,0.1,0.031,4.166666667,8.3,0.24
L8069,55.05876,9.309871,NA,0.12,0.023,NA,8.4,NA
L8070,55.06108,9.305959,NA,0.18,0.018,5.217391304,8.6,0.191666667
L8071,55.07129,9.28618,NA,0.34,0.024,10,8.1,0.1
L8072,55.07265,9.290935,NA,0.3,0.012,14.16666667,8.5,0.070588235
L8073,55.07277,9.283951,NA,0.07,0.026,25,8.2,0.04
L8074,55.08991,9.299364,NA,0.18,0.011,2.692307692,8.4,0.371428571
L8075,55.09148,9.315107,NA,1.72,0.012,16.36363636,8.4,0.061111111
L8076,55.09625,9.300461,NA,0.32,0.015,143.3333333,8.2,0.006976744
L8079,55.38028,40.17944,NA,NA,NA,NA,NA,NA
L8081,55.48464,11.76422,NA,0.2,0.06,6.153846154,NA,0.1625
L8082,55.50308,11.69453,NA,0.5,NA,3.333333333,NA,0.3
L8083,55.62438,12.17702,NA,0.47,0.022,21.33333333,8.4,0.046875
L8084,55.62839,12.17757,NA,0.41,0.024,21.36363636,8.4,0.046808511
L8085,55.63362,12.18892,NA,0.57,0.029,NA,9.9,NA
L8086,55.63444,12.1864,NA,0.31,0.019,19.65517241,8.3,0.050877193
L8087,55.63731,12.18318,NA,0.11,0.013,16.31578947,7.8,0.061290323
L8088,55.65575,23.20039,NA,1.6,0.02,NA,NA,NA
L8089,55.68172,13.59278,NA,1.1,0.16,80,NA,0.0125
L8090,55.70019,13.47836,NA,1,0.01,NA,NA,NA
L8091,55.71286,22.335,NA,0.6,0.05,100,NA,0.01
L8092,55.73914,13.20922,NA,0.8,0.11,12,NA,0.083333333
L8093,55.77267,12.45664,NA,0.3,0.03,7.272727273,NA,0.1375
L8094,55.77472,12.47911,NA,0.6,0.02,10,NA,0.1
L8095,55.77933,13.3615,NA,0.9,0.18,30,NA,0.033333333
L8096,55.80522,12.36719,NA,0.5,0.03,5,NA,0.2
L8097,55.81306,12.44314,NA,0.4,0.11,16.66666667,NA,0.06
L8098,55.81803,12.2695,NA,0.5,0.04,3.636363636,NA,0.275
L8099,55.83879,12.23935,NA,0.83,0.082,8.461538462,8.1,0.118181818
L8100,55.86075,23.31231,NA,0.6,0.05,12.5,NA,0.08
L8101,55.86308,13.54197,NA,0.7,0.03,NA,NA,NA
L8102,55.90215,9.695661,NA,2.89,0.066,10.12195122,7.9,0.098795181
L8103,55.90425,9.687029,NA,2.47,0.117,43.78787879,8.5,0.02283737
L8104,55.91212,12.06082,NA,0.21,0.014,21.11111111,8.2,0.047368421
L8105,55.93819,23.33628,NA,0.6,NA,23.33333333,NA,0.042857143
L8106,55.95556,28.52333,NA,NA,NA,NA,NA,NA
L8107,55.97756,22.24886,NA,0.7,0.16,NA,NA,NA
L8108,55.98195,9.715459,NA,0.13,0.026,15,8.4,0.066666667
L8109,55.98378,9.70328,NA,0.53,0.047,5,8.8,0.2
L8110,55.98488,9.713606,NA,0.05,0.019,11.27659574,8.4,0.088679245
L8112,56.033,9.65,NA,NA,NA,NA,NA,NA
L8113,56.04312,12.41663,NA,0.17,0.044,NA,8.6,NA
L8114,56.04377,12.4177,NA,0.05,0.024,3.863636364,8.5,0.258823529
L8115,56.0462,12.42571,NA,0.43,0.038,2.083333333,9.3,0.48
L8116,56.12325,9.615833,NA,NA,0.09,4.375,NA,0.228571429
L8117,56.14801,9.189331,NA,0.15,0.021,11.31578947,7.6,0.088372093
L8118,56.14929,9.181225,NA,0.24,0.017,7.142857143,8.5,0.14
L8119,56.15103,9.181378,NA,0.55,0.024,14.11764706,7.7,0.070833333
L8120,56.15323,9.184061,NA,0.3,0.02,22.91666667,6.8,0.043636364
L8121,56.15551,9.187565,NA,0.21,0.012,15,7.7,0.066666667
L8122,56.15613,9.199352,NA,0.32,0.033,17.5,7.7,0.057142857
L8123,56.19403,28.70667,NA,NA,NA,NA,NA,NA
L8124,56.255,9.807,NA,NA,NA,NA,NA,NA
L8125,56.30484,9.651421,NA,0.6,0.038,9.696969697,7.5,0.103125
L8126,56.36905,8.430374,NA,NA,NA,NA,NA,NA
L8128,56.382,42.286,NA,1.51,0.288,NA,9,NA
L8129,56.391,42.342,NA,1.29,0.034,5.243055556,6.4,0.190728477
L8130,56.396,42.389,NA,0.61,0.024,37.94117647,7.6,0.026356589
L8131,56.413,42.337,NA,0.41,0.016,25.41666667,6.5,0.039344262
L8132,56.415,42.289,NA,0.55,0.039,25.625,7.6,0.03902439
L8133,56.426,42.3315,NA,0.395,0.018,18.30128205,5.55,0.054640981
L8134,56.75763,37.0704,NA,NA,NA,NA,NA,NA
L8135,56.91667,60.66847,NA,NA,NA,NA,NA,NA
L8136,57.16444,37.64995,NA,NA,NA,NA,NA,NA
L8140,58.45925474,27.53905687,NA,0.7,0.035,NA,8.4,NA
L8142,57.97942,26.78358,NA,NA,NA,NA,7.7,NA
L8143,58.223345,38.70939,NA,NA,NA,10.35294118,NA,0.096590909
L8144,58.03104,-93.65635,NA,NA,0.0057,NA,NA,NA
L8145,58.04564,-93.65352,NA,NA,0.0052,NA,NA,NA
L8146,58.215305,26.10248273,NA,0.7,0.05,17.5,8.5,0.057142857
L8147,58.23130667,26.40563333,NA,0.5,NA,14,8.3,0.071428571
L8149,58.25264,22.35369,NA,NA,NA,NA,8.9,NA
L8150,58.26185,26.43295,NA,NA,NA,NA,8.5,NA
L8151,58.29756,26.42188,NA,NA,NA,NA,8.2,NA
L8153,58.34165,-93.29168,NA,NA,0.0144,NA,NA,NA
L8154,58.34246,-93.26108,NA,NA,0.0061,NA,NA,NA
L8155,58.3509,-93.23186,NA,NA,0.0101,NA,NA,NA
L8156,58.38516,-93.34488,NA,NA,0.0068,NA,NA,NA
L8157,58.39369,-93.38201,NA,NA,0.0047,NA,NA,NA
L8158,58.40602,-93.26443,NA,NA,0.0046,NA,NA,NA
L8159,58.53601,26.654185,NA,0.7,0.07,NA,7.9,NA
L8160,58.57117,26.71133,NA,0.7,0.07,10,NA,0.1
L8162,58.58889,26.655,NA,0.4,0.04,NA,NA,NA
L8163,58.60722,26.67611,NA,0.6,NA,NA,NA,NA
L8165,58.6568,-93.187,NA,NA,0.0041,NA,NA,NA
L8166,58.66088,-93.21593,NA,NA,0.0046,NA,NA,NA
L8167,58.6694,-93.1989,NA,NA,0.0041,NA,NA,NA
L8168,58.6704,-93.188,NA,NA,0.0036,NA,NA,NA
L8169,58.71818,26.55059,NA,1,NA,NA,NA,NA
L8171,59.06092,26.24177,NA,NA,NA,NA,7.6,NA
