"SITE_ID","DOC_Median","NO3_Median","TN_Median","TP_Median","TNtoTP_Median","NO3toTP_Median"
"NRS18_MN_10556",9.48,0.0025,0.408,44.763,0.009114671,5.58497e-05
"NRS18_MN_RF001",11.855,0.0259,0.7415,59.8475,0.0124292895,0.000439612
"NRS18_MN_RF002",21.495,0.10895,0.939,42.51,0.0214924575,0.0019281455
"NRS18_MN_RF003",5.85,0.0028,0.355,70.491,0.005036104,3.97214e-05
"NRS18_MO_10001",10.015,0.3357,1.4545,281.017,0.0050585885,0.00099273911
"NRS18_MO_10002",4.62,3.06445,3.687,259.2505,0.0142520965,0.011082435
"NRS18_MO_10003",7.45,0.7738,2.225,395.188,0.005630232,0.001958055
"NRS18_MO_10004",4.86,0.1045,0.706,313.875,0.002249303,0.000332935
"NRS18_MO_10006",6.33,1.8082,2.563,1053.581,0.002432656,0.001716242
"NRS18_MO_10008",3.72,0.6665,1.305,201.228,0.006485181,0.003312163
"NRS18_MO_10009",3.92,1.8459,2.356,213.775,0.011020933,0.00863478
"NRS18_MO_10010",1.04,0.0563,0.256,27.196,0.009413149,0.002070157
"NRS18_MO_10011",4.61,4.0186,4.884,351.945,0.013877168,0.011418261
"NRS18_MO_10012",0.63,1.4142,1.551,28.603,0.054225081,0.049442366
"NRS18_MO_10013",5.185,0.1533,0.8835,289.0205,0.003056068,0.0005298665
"NRS18_MO_10014",3.74,1.38175,1.935,223.0615,0.008445295,0.005878528
"NRS18_MO_10019",3.8,0.2995,0.611,43.934,0.013907224,0.006817044
"NRS18_MO_10020",4.4,0.0042,0.428,59.041,0.0072492,7.1137e-05
"NRS18_MO_10021",3.09,5e-04,0.354,20.724,0.017081644,2.41266e-05
"NRS18_MO_10023",5.46,0.0077,0.569,124.126,0.004584052,6.20337e-05
"NRS18_MO_10024",4.09,0.9805,1.699,219.226,0.007749993,0.004472553
"NRS18_MO_10025",4.22,1.1789,1.874,232.943,0.008044887,0.005060895
"NRS18_MO_10026",1.64,0.8461,1.096,31.086,0.035257029,0.02721804
"NRS18_MO_10027",2.12,0.006,0.535,268.06,0.001995822,2.2383e-05
"NRS18_MO_10029",15.04,0.3144,1.806,313.336,0.005763781,0.001003396
"NRS18_MO_10030",5.72,0.0689,0.938,134.761,0.006960471,0.000511276
"NRS18_MO_10031",2.56,0.9952,1.389,80.043,0.017353173,0.012433317
"NRS18_MO_10033",3.08,3.6388,4.05,373.275,0.01084991,0.009748309
"NRS18_MO_10034",1.97,0.5854,0.833,39.713,0.020975499,0.014740765
"NRS18_MO_10035",1.9,0.0617,0.338,65.088,0.00519297,0.000947947
"NRS18_MO_10037",4.83,0.1286,0.794,150.438,0.005277922,0.000854837
"NRS18_MO_10038",2.8,NA,0.315,46.279,0.006806543,0
"NRS18_MO_10039",6.75,0.6998,1.506,475.836,0.003164956,0.001470675
"NRS18_MO_10040",1.24,0.0477,0.288,76.56,0.003761755,0.000623041
"NRS18_MO_10041",1.51,0.0464,0.209,25.986,0.008042792,0.001785577
"NRS18_MO_10042",4.14,1.1594,1.919,245.141,0.007828148,0.004729523
"NRS18_MO_10051",2.02,0.8618,1.179,82.461,0.014297668,0.010451001
"NRS18_MO_10053",2.67,1.8313,2.244,375.575,0.005974839,0.00487599
"NRS18_MO_10055",1.43,NA,0.263,31.1,0.008456592,0
"NRS18_MO_10213",0.61,0.8494,0.959,7.776,0.123328189,0.109233539
"NRS18_MO_10214",5.74,0.0011,1.119,136.533,0.008195821,8.05666e-06
"NRS18_MO_10361",7.46,0.1074,0.925,104.211,0.008876222,0.001030601
"NRS18_MO_10362",3.49,0.2839,0.741,157.185,0.00471419,0.001806152
