SITE_ID,Lat,Lon,DOC_Median,NO3_Median,TP_Median,NO3toTP_Median
NLA12_SD_133,44.47740626,-99.31405069,15.98,0,304,0
NLA12_SD_134,45.55612315,-99.77590227,19.77,0,928,0
NLA12_SD_137,43.27872203,-99.65508754,19.97,0.003,475,6.32E-06
NLA12_SD_138,45.69877035,-97.44011662,8,0.022,49,0.00044898
NLA12_SD_140,45.60448724,-103.6125348,10.77,0,68,0
NLA12_SD_141,45.81116472,-99.28278555,20.95,0.013,39,0.000333333
NLA12_SD_143,43.89012129,-101.1518294,16.84,51.66,32,1.614375
NLA12_SD_146,45.74128962,-97.26709757,19.02,0.002,25,0.00008
NLA12_SD_147,43.20148574,-99.61980464,17.8,0.002,554,3.61E-06
NLA12_SD_150,45.75621315,-99.64575832,23.85,0,99,0
NLA12_SD_154,44.83195396,-97.72143694,21.39,0,753,0
NLA12_SD_157,45.91255997,-99.21601903,20.5,0,84,0
NLA12_SD_158,45.23398781,-96.5208005,13.61,0,610,0
NLA12_SD_162,44.20860117,-96.84466113,13.49,0,815,0
NLA12_SD_165,44.32204695,-99.73243077,16.96,0.003,357,8.40E-06
NLA12_SD_166,45.68365856,-97.44500099,8.62,0,71,0
NLA12_SD_168,45.46848158,-102.4051988,18.22,0,293,0
NLA12_SD_170,45.42085242,-97.50813452,24.6,0,137,0
NLA12_SD_172,44.87090089,-103.0033176,17.35,0,70,0
NLA12_SD_182,45.71082611,-97.4684742,8.93,0.021,35,0.0006
NLA12_SD_183,43.44309912,-99.25760578,4.1,0.031,41,0.000756098
NLA12_SD_189,44.8826344,-99.74168521,19.56,0.003,147,2.04E-05
NLA12_SD_198,44.59545614,-97.1985202,14.94,0.015,419,3.58E-05
NLA12_SD_212,45.09124999,-100.4923803,13.36,0.002,346,5.78E-06
NLA12_TN_101,35.37136692,-86.38150478,3.275,0.1125,219.5,0.000512528
NLA12_TN_103,36.04444348,-85.58629482,2.45,2.42,359,0.006740947
NLA12_TN_104,36.64153852,-81.93648268,1.77,0.022,13,0.001692308
NLA12_TN_106,35.12132203,-88.50247061,4.83,0.003,43,6.98E-05
NLA12_TN_108,35.67437636,-87.03244737,4.585,0.011,646,1.70E-05
NLA12_TN_113,35.2132032,-89.9349158,6.44,0,120,0
NLA12_TN_114,35.53344258,-88.79381612,7.81,0.014,46,0.000304348
NLA12_TN_119,36.30304042,-86.91714013,4.46,0.002,51,3.92E-05
NLA12_TN_122,35.34673245,-88.88488635,4.17,0.003,48,0.0000625
NLA12_TN_R01,35.10675102,-84.58794096,0.9,0.005,21,0.000238095
NLA12_TX_101,32.94442993,-96.45375244,6.1,0,256.5,0
NLA12_TX_103,35.58232959,-101.7171387,8.92,0,49,0
NLA12_TX_104,30.00954296,-97.82158001,6.92,0.002,111,1.80E-05
NLA12_TX_105,32.18872936,-95.47435666,6.69,0.002,35,5.71E-05
NLA12_TX_107,31.77914564,-99.48754057,10.92,0.002,43,4.65E-05
NLA12_TX_109,32.08995916,-95.89431333,10.02,0.002,35,5.71E-05
NLA12_TX_110,33.07855581,-96.98672572,4.48,0.002,26,7.69E-05
NLA12_TX_111,32.24025447,-101.3133027,17.94,0,28,0
NLA12_TX_112,31.14844072,-97.74526454,4.59,0,23,0
NLA12_TX_113,32.81786479,-94.66358144,6.8,0,60,0
NLA12_TX_114,32.83672651,-96.71957959,3.8,0.002,95,2.11E-05
NLA12_TX_116,32.5933156,-98.31780702,9.2,0.002,34,5.88E-05
NLA12_TX_117,33.06712109,-95.73801377,13.34,0.0035,414.5,8.44E-06
NLA12_TX_118,29.16088523,-95.32520155,7.57,0.002,86,2.33E-05
NLA12_TX_121,31.7872742,-96.06449217,11.73,0.002,204,9.80E-06
NLA12_TX_124,32.79752902,-98.98190835,6.05,0,25,0
NLA12_TX_128,32.66237175,-97.61238491,5.56,0,56,0
NLA12_TX_129,29.86638372,-95.17138389,14.65,0.004,59,6.78E-05
NLA12_TX_135,26.62195986,-98.06124241,19.86,0,114,0
NLA12_TX_136,32.49282566,-100.578457,11.83,0,113,0
NLA12_TX_137,31.91034371,-95.30185594,3.44,0.002,30,6.67E-05
NLA12_TX_141,31.70876097,-94.35710738,6.5,0.002,30,6.67E-05
NLA12_TX_144,31.88917209,-97.70249202,5.8,0,30,0
NLA12_TX_148,33.27090609,-98.15099199,5.74,0,64,0
NLA12_TX_152,32.58187778,-101.165507,26.79,0,486,0
NLA12_TX_157,32.82785688,-94.047393,13.59,0.003,58,5.17E-05
NLA12_TX_158,26.06969798,-97.56163797,4.87,0,88,0
NLA12_TX_159,30.00697302,-96.70980987,12.78,0.01,100,0.0001
NLA12_TX_160,32.8469031,-96.88653964,4.4,0.097,79,0.001227848
NLA12_TX_161,29.61660959,-95.64840829,5.32,0.026,171,0.000152047
NLA12_TX_165,33.83357441,-95.63207419,5.09,0,26,0
NLA12_TX_169,32.19966096,-94.907485,0.23,0.078,54,0.001444444
NLA12_TX_170,30.9634384,-95.90350405,9.54,0.003,84,3.57E-05
NLA12_TX_176,32.46570764,-96.20016563,12.44,0.078,130,0.0006
NLA12_TX_182,31.58749658,-98.62250327,6.49,0.003,39,7.69E-05
NLA12_TX_187,32.41566325,-96.05998989,9.2,0.002,167,1.20E-05
NLA12_TX_190,32.0726955,-97.12977293,3.55,0.008,30,0.000266667
NLA12_TX_195,33.51617531,-94.12513187,6.68,0,89,0
NLA12_TX_196,31.33182559,-97.26843785,6.03,0.003,88,3.41E-05
NLA12_TX_199,32.04833893,-95.99865481,26.38,0.005,525,9.52E-06
NLA12_TX_201,30.55887079,-95.49710901,8.28,0.005,43,0.000116279
NLA12_TX_202,32.05630851,-96.73178299,10.09,0.003,116,2.59E-05
NLA12_TX_205,29.12694253,-95.58166196,10.57,0.002,17,0.000117647
NLA12_TX_218,33.5630296,-97.01641569,6.89,0,122,0
NLA12_TX_232,33.17048801,-95.09123194,9.53,0.002,35,5.71E-05
NLA12_TX_234,32.10705826,-97.88118693,7.88,0.003,54,5.56E-05
NLA12_TX_235,31.9239003,-94.08029271,11.2,0.021,88,0.000238636
NLA12_TX_R02,31.11366834,-94.14304379,5.3,0.002,41,4.88E-05
NLA12_TX_R08,33.73234967,-95.99468577,6.79,0.002,113,1.77E-05
NLA12_TX_R09,33.7351029,-95.92578522,5.42,0,27,0
