"SITE_ID","Lat","Lon","DOC_Median","NO3_Median","TP_Median","NO3toTP_Median"
"NMS9_0920",36.1106,-105.7319,4.45,0.141,56,0.0025833335
"NMS9_0924",36.78886,-106.2405,2.91,0.091,169,0.000538462
"NMS9_0925",36.79741,-104.8783,3.71,0.001,104,9.62e-06
"NMS9_0926",35.77146,-105.0074,3.175,0.061,21.5,0.002607456
"NMSS_1076",36.78769,-108.0619,1.24,0.104,68,0.001529412
"NMSS_1081",35.88864,-105.448,7.24,0.011,50,0.00022
"NMSS_1085",35.71713,-105.4943,3.25,0.013,32,0.00040625
"NVLS_1046",41.55244,-116.196,2.29,0,142,0
"NVLS_1048",40.19137,-117.2531,1.28,0,178,0
"NVLS_1067",41.88354,-115.4309,0.73,0.006,51.9,0.000115607
"NVLS_1069",41.99317,-117.528,2.28,0.001,134,7.46e-06
"NVLS_1072",38.4235,-119.0023,2.7,0,363,0
"NVLS_1074",41.58071,-115.3591,2.5,0.006,84.5,7.1e-05
"NVR9_0902",35.07424,-114.6043,2.47,0.337,8,0.042125
"NVR9_0905",40.8147,-115.8061,4.3,0.002,198,1.01e-05
"NVR9_0910",39.08216,-119.7573,4.72,0.001,305,3.56e-06
"NVR9_0917",41.00565,-117.3393,4.51,0,196,0
"NVR9_0920",41.88666,-114.6866,2.795,0.001,178,7.35e-06
"NVRM_1001",36.73991,-114.206,1.06,0.007,55,0.000127273
"NVRM_1006",40.70241,-116.5235,2.16,0,89,0
"NVRM_1007",38.43849,-119.0592,6.75,0.104,280,0.000371429
"NVRO_1020",39.19519,-117.3465,1.98,0,110,0
"NVRO_1024",40.57471,-116.4405,2.77,0,79,0
"NVRO_1027",41.52683,-117.4287,1.1,0.657,187,0.003513369
"NVRO_1041",41.78608,-114.9674,4.03,0,149,0
"NVS9_0921",40.7413,-115.5544,0.945,0.204,99,0.0021790685
"NVS9_0924",39.21429,-114.5413,0.8,0.033,47,0.000702128
"NVS9_0926",41.8773,-115.6285,1.485,0.0055,64,9.13255e-05
"NVSS_1104",41.95777,-115.8638,2.48,0.004,266,1.5e-05
"NYLS_1115",41.29257,-74.47551,3.65,0.404,127,0.003181102
"NYLS_1116",43.73873,-74.9586,4.5,0.114,18,0.006333333
"NYLS_1117",42.61359,-74.08873,3.8,0.029,33,0.000878788
"NYLS_1118",42.97868,-77.5953,3.26,0.344,75,0.004586667
"NYLS_1119",44.87431,-74.14309,3.83,0.212,29,0.007310345
"NYLS_1120",42.97827,-74.82221,3.18,0.327,103,0.003174757
"NYLS_1121",42.79641,-75.86431,1.79,1.125,26,0.043269231
"NYLS_1122",42.54145,-76.30084,2.97,1.373,24,0.057208333
"NYLS_1123",44.50581,-75.04351,5.68,0.046,105,0.000438095
"NYLS_1124",43.66568,-75.29471,8.66,0.141,36,0.003916667
"NYLS_1125",42.19853,-77.4111,2.7,0.345,59,0.005847458
"NYR9_0901",42.42297,-75.63217,3.09,0.72,67,0.0114015565
"NYR9_0902",42.14603,-77.05409,2.475,0.1765,43.5,0.0031672265
"NYR9_0903",42.82852,-73.98933,2.44,0.52,35,0.014857143
"NYR9_0904",42.16144,-75.85678,3.42,0.487,67,0.007268657
"NYR9_0905",43.24866,-73.74077,3.4,0.104,13.5,0.007703704
"NYR9_0906",44.25928,-75.76743,8.46,0.086,71,0.001211268
"NYR9_0907",42.47413,-73.78702,3.95,0.465,107,0.004345794
"NYR9_0908",42.08065,-78.42363,3.04,0.332,74,0.004486486
"NYR9_0909",42.06591,-78.46922,2.13,0.134,43,0.003116279
"NYR9_0910",43.13767,-76.29551,3.66,0.184,61,0.003016393
"NYR9_0911",42.02896,-76.39831,3.02,0.512,66,0.007757576
"NYR9_0912",42.93558,-74.19445,3.3,0.602,69,0.008724638
"NYR9_0913",42.34775,-75.69644,2.82,0.574,47,0.012212766
"NYR9_0914",43.25553,-73.5864,4.78,0.155,23,0.00673913
"NYR9_0915",42.85984,-77.84331,2.14,0.405,53,0.007641509
"NYR9_0916",42.05576,-73.93195,3.86,0.285,35,0.008142857
"NYRF_0001",42.60627,-73.47956,9.31,0.043,26,0.001653846
"NYRF_0002",42.50124,-74.43872,1.41,0.105,17.4,0.006034483
"NYRF_0003",44.55787,-73.44391,4.12,0.098,30,0.003266667
"NYRF_0004",43.48307,-73.79941,3.79,0.073,16,0.0045625
"NYRF_0005",44.30054,-75.3443,6.24,0.135,16,0.0084375
"NYRF_0006",43.25015,-74.20937,5.42,0.046,24,0.001916667
"NYRM_1001",42.01278,-75.77946,2.52,0.346,34,0.010176471
"NYRM_1002",43.30507,-73.59358,5.65,0.143,28,0.005107143
"NYRM_1003",42.54433,-74.95158,2.82,0.25,45,0.005555556
"NYRM_1004",42.69165,-73.70884,3.97,0.36,39,0.009230769
"NYRM_1005",42.08366,-76.29192,3.32,0.468,77,0.006077922
"NYRM_1006",43.47235,-73.84035,3.97,0.088,16,0.0055
"NYRM_1007",42.28799,-75.48149,2,0.469,24,0.019541667
"NYRM_1008",42.17815,-73.8706,4.09,0.303,59,0.005135593
"NYRO_1049",44.91335,-74.93946,13.02,0.092,48,0.001916667
"NYRO_1050",42.31674,-75.94378,3.36,0.606,68,0.008911765
"NYRO_1051",43.80096,-75.46669,5.1,0.214,29,0.00737931
"NYRO_1052",44.62279,-75.22698,13.03,0.05,46,0.001086957
"NYRO_1053",42.56912,-79.13579,1.59,0.506,19,0.026631579
"NYRO_1054",42.10099,-75.91594,2.68,0.617,39,0.015820513
"NYRO_1055",42.94959,-74.3836,3.33,0.621,52,0.011942308
"NYRO_1056",44.84435,-75.08576,13.61,0.091,47,0.00193617
"NYRO_1057",42.76741,-77.83879,2.35,0.309,39,0.007923077
"NYRO_1058",43.16468,-76.25831,3.6,0.562,46,0.012217391
"NYRO_1060",44.33427,-75.47149,6.61,0.123,15,0.0082
"NYS9_0923",42.93689,-76.61918,2.1,1.381,85.6,0.0160605505
"NYS9_0924",43.00711,-76.68105,8.21,0.4035,117.15,0.0034907305
"NYS9_0925",44.8645,-74.128,3.38,0.25,29,0.00862069
"NYS9_0926",43.53158,-74.55173,4.22,0.097,29,0.003344828
"NYS9_0927",42.67849,-77.70648,1.61,2.871,211,0.013606635
"NYS9_0929",41.59626,-74.36753,1.23,0.04,25,0.0016
"NYS9_0930",42.11547,-79.26637,4.26,0.023,219,0.000105023
"NYS9_0931",42.90824,-75.4783,6.64,0.258,222,0.001162162
"NYS9_0932",43.01567,-76.85464,5.23,0.116,94,0.001234043
"NYS9_0933",42.23492,-78.77276,2.88,0.362,150,0.002413333
"NYS9_0934",42.74127,-76.4744,2.16,0.21,107,0.001962617
"NYS9_0935",42.4942,-75.57194,5.45,0.088,38,0.002315789
"NYS9_0936",44.49954,-74.88522,8.87,0.155,32,0.00484375
"NYS9_0937",44.6575,-74.00524,3.68,0.172,33,0.005212121
"NYSS_1236",42.3999,-79.44188,3.63,0.314,36,0.008722222
"NYSS_1237",43.24839,-78.23876,5.03,2.124,103,0.020621359
"NYSS_1238",43.12556,-75.58383,6.01,0.38,112,0.003392857
"NYSS_1239",43.30763,-73.63245,3.72,0.198,18,0.011
"NYSS_1241",43.5808,-75.95908,15.19,0.006,41,0.000146341
"NYSS_1242",42.31599,-74.32653,1.44,0.011,27,0.000407407
"NYSS_1245",42.72312,-76.46325,4.11,1.528,113,0.013522124
"NYSS_1249",43.76854,-75.50135,2.02,0.493,30,0.016433333
"NYSS_1251",42.03475,-77.55209,3.07,0.029,141,0.000205674
