"SITE_ID","Lat","Lon","DOC_Median","NO3_Median","TP_Median","NO3toTP_Median"
"ORRF_0106",44.1692,-123.1351,0.81,0.02,60,0.000333333
"ORRF_0107",45.63943,-117.7274,1.64,0.118,21,0.005619048
"ORRF_0108",44.97614,-118.7488,1.46,0,4,0
"ORRF_0109",43.86593,-122.4082,0.43,0,15,0
"ORRF_0110",44.09827,-118.5869,1.27,0.002,37,5.41e-05
"ORRF_0113",42.8064,-124.3894,0.9,0.048,6,0.008
"ORRF_0115",42.72616,-124.2711,0.34,0.003,0,NA
"ORRF_0116",45.37816,-117.6533,1,0.002,2,0.001
"ORRF_0118",45.95473,-117.786,0.74,0.067,24,0.002791667
"ORRF_0119",44.12161,-118.3435,1.49,0,45,0
"ORRM_1001",45.7653,-117.7599,1.06,0.073,27,0.002703704
"ORRM_1002",44.73944,-120.3283,2.16,0,62,0
"ORRM_1003",44.63184,-119.6373,3.18,0,107,0
"ORRM_1004",42.46828,-124.3453,1.27,0.025,85,0.000294118
"ORRM_1006",44.82284,-119.85,2.04,0.005,58,8.62e-05
"ORRM_1007",43.65161,-123.9032,1.44,0.002,53,3.77e-05
"ORRM_1008",43.68129,-123.6684,1.32,0,61,0
"ORRM_1010",45.99067,-118.9969,1.72,0.076,25,0.00304
"ORRO_1049",43.12125,-124.1794,2.03,0,45,0
"ORRO_1054",42.46639,-121.4396,1.34,0,88,0
"ORRO_1058",43.1829,-118.878,2.73,0.002,124,1.61e-05
"ORRO_1060",45.46216,-122.9433,3.56,5.049,188,0.026856383
"ORRO_1062",44.06054,-122.8951,0.61,0.001,71,1.41e-05
"ORRO_1066",45.22943,-121.0757,0.76,0.138,126,0.001095238
"ORRO_1067",45.73934,-119.1984,2.85,0.144,215,0.000669767
"ORS9_0931",43.09695,-122.4115,0.67,0.0015,24,6.785e-05
"ORS9_0932",45.21177,-121.8471,0.3,0.0025,41.5,5.975e-05
"ORS9_0933",43.61499,-122.7665,0.83,0.15,70,0.002142857
"ORS9_0934",44.90149,-118.477,0.99,0.004,6,0.000666667
"ORS9_0935",42.07215,-124.0083,0.27,0.093,19,0.004894737
"ORS9_0936",43.10118,-122.8297,0.7,0.011,44,0.00025
"ORS9_0937",44.85146,-118.1429,0.53,0.004,32,0.000125
"ORS9_0939",44.14125,-119.2912,1.43,0,70,0
"ORS9_0940",43.1678,-123.6913,1.24,0.005,37,0.000135135
"ORS9_0941",45.19313,-118.7041,1.67,0.005,81,6.17e-05
"ORS9_0942",43.68773,-121.686,1.26,0.02,126,0.00015873
"ORSS_1168",42.85641,-123.1434,0.84,0.143,76,0.001881579
"ORSS_1169",44.13017,-122.1306,0.69,0.105,34,0.003088235
"ORSS_1172",42.15886,-123.4142,0.44,0.005,42,0.000119048
"ORSS_1173",43.841,-122.8208,0.8,0.039,112,0.000348214
"ORSS_1175",45.87203,-117.9262,0.51,0.001,39,2.56e-05
"PALS_1085",40.59318,-76.02772,0.82,1.047,10,0.1047
"PALS_1086",41.64813,-75.78612,2.26,0.098,28,0.0035
"PALS_1087",41.65584,-76.7847,1.78,1.327,133,0.009977444
"PALS_1089",40.09951,-74.86764,3.03,0.218,46,0.00473913
"PALS_1090",41.51621,-79.32288,2.93,0.192,59,0.003254237
"PALS_1091",41.75655,-77.5552,0.85,0.043,15,0.002866667
"PALS_1092",41.40645,-80.39264,4.39,0.26,78,0.003333333
"PAR9_0901",41.41992,-78.74775,4.165,0.2195,34,0.006468831
"PAR9_0902",41.47516,-79.51793,2.305,0.1625,24.95,0.006569553
"PAR9_0903",41.92258,-77.12923,2.06,0.189,21,0.009
"PAR9_0904",40.4918,-76.94813,2.66,0.248,50,0.00496
"PAR9_0905",40.93107,-80.37396,5.46,1.53,173,0.008843931
"PAR9_0906",41.9699,-76.51192,2.59,0.523,41,0.012756098
"PAR9_0907",41.28871,-77.34123,1.17,0.09,6,0.015
"PAR9_0908",41.02419,-80.16323,2.91,0.971,72,0.013486111
"PAR9_0909",40.14318,-75.51026,2.04,2.84,140,0.020285714
"PAR9_0910",40.88572,-76.80151,1.11,0.355,23,0.015434783
"PAR9_0911",41.24333,-80.50937,5.62,0.118,85,0.001388235
"PARF_0002",41.4656,-80.00238,3.9,0.428,60,0.007133333
"PARF_0004",41.28869,-79.84386,3.18,0.268,41,0.006536585
"PARF_0005",40.08966,-79.73079,1.97,0.557,29,0.019206897
"PARM_1001",40.76001,-79.54689,1.91,0.225,16,0.0140625
"PARM_1002",41.06235,-76.85619,0.98,0.334,17,0.019647059
"PARM_1003",41.71462,-76.32307,2.84,0.441,62,0.007112903
"PARM_1004",41.8337,-79.17312,1.89,0.136,44,0.003090909
"PARM_1005",40.59864,-79.75119,1.76,0.331,14,0.023642857
"PARM_1006",41.38492,-75.80537,3.13,0.464,71,0.006535211
"PARM_1007",41.97147,-75.74881,1.91,0.323,29,0.011137931
"PARM_1008",41.68358,-79.3751,2.24,0.133,39.9,0.003333333
"PARO_1049",41.9999,-76.62264,2.8,0.382,66,0.005787879
"PARO_1050",41.45998,-77.5098,1.71,0.012,15,8e-04
"PARO_1051",39.80494,-79.32561,1.9,1.028,12,0.085666667
"PARO_1052",40.78034,-80.32113,5.02,1.13,129,0.00875969
"PARO_1053",41.62465,-79.0336,2.08,0.036,22,0.001636364
"PARO_1054",41.35975,-76.88407,0.84,0.182,5,0.0364
"PAS9_0914",41.7208,-75.41279,1.165,0.575,31.5,0.0288265305
"PAS9_0915",40.07336,-75.22354,2.075,4.1925,178.5,0.023489125
"PAS9_0917",40.92973,-78.26005,0.82,0.021,75,0.00028
"PAS9_0918",41.60763,-77.50377,0.77,0.111,19,0.005842105
"PAS9_0919",41.48847,-78.13261,0.63,0.108,34,0.003176471
"PAS9_0921",41.44305,-75.66055,3.2,10.992,2262,0.004859416
"PAS9_0922",41.65698,-78.61148,2.43,0.148,12,0.012333333
"PAS9_0923",40.52159,-79.39899,1.36,0.538,28,0.019214286
"PAS9_0924",41.8317,-76.33241,1.49,0.299,17,0.017588235
"PAS9_0925",40.65367,-79.94249,5.23,0.11,92,0.001195652
"PASS_1163",41.47983,-78.06974,0.86,0.25,47,0.005319149
"PASS_1164",41.74656,-79.30665,1.16,0.065,15,0.004333333
"PASS_1165",41.02335,-78.90572,1.26,0.379,26,0.014576923
"PASS_1166",39.88029,-75.27583,3.09,1.469,386,0.003805699
"PASS_1167",41.28689,-78.52937,1.12,0.183,11,0.016636364
"PASS_1168",41.53222,-80.30868,12.4,0.075,85,0.000882353
"RILS_1022",41.42111,-71.79528,3.51,1.104,35,0.031542857
"RILS_1023",41.52182,-71.59218,2.52,0.233,31,0.007516129
"RILS_1024",41.88251,-71.34201,3.39,1.393,54,0.025796296
"RILS_1026",41.79451,-71.67064,5.69,0.036,29,0.001241379
"RILS_1029",41.58105,-71.72228,2.755,0.0665,42,0.0011421875
"RIR9_0901",41.88014,-71.3813,3.845,0.7035,64.5,0.0108866195
"RIR9_0902",41.39354,-71.8408,4.345,0.6365,56,0.011953452
"RIRF_0001",41.52871,-71.68985,2.88,0.141,25,0.00564
"RIRO_1001",41.39469,-71.84151,3.47,0.751,50,0.01502
"RIRO_1002",41.40065,-71.7311,4.12,0.58,59,0.009830508
"RIRO_1003",41.9159,-71.41315,3.93,0.727,93,0.007817204
"RIS9_0911",41.84804,-71.78683,18.89,0,45,0
"RIS9_0912",41.50654,-71.71228,2.97,0.18,21,0.008571429
"RIS9_0913",41.83267,-71.46914,2.715,0.5135,20.5,0.026620098
"RISS_1079",41.56816,-71.18604,22.14,0.135,108,0.00125
"RISS_1080",41.92004,-71.53041,3.31,0.378,16,0.023625
"RISS_1081",41.60206,-71.72025,3.7,0.022,19,0.001157895
"RISS_1082",41.49712,-71.48931,1.26,0.781,29,0.026931034
"RISS_1083",41.60442,-71.49621,4.61,0.513,53,0.009679245
"RISS_1084",41.87916,-71.47102,6.3,0.27,48,0.005625
"RISS_1093",41.79948,-71.6503,2.37,0.185,26,0.007115385
"SCLS_1031",34.96664,-82.10085,1.43,0.576,51,0.011294118
"SCLS_1033",33.89573,-82.01938,5.75,0.028,45,0.000622222
"SCR9_0901",33.88391,-78.78474,25.91,0.1925,59.5,0.003224206
"SCR9_0902",33.90909,-79.4403,4.24,0.43,131.5,0.0033556655
"SCR9_0903",34.12622,-80.65031,3.99,0.319,54,0.005907407
"SCR9_0904",34.57048,-81.77745,1.63,1.442,165,0.008739394
"SCRF_0001",33.31078,-81.19278,8.77,0.078,72,0.001083333
"SCRF_0002",32.68479,-81.05108,17.67,0.093,204,0.000455882
"SCRM_1001",34.93019,-80.8684,2.09,0.354,51,0.006941176
"SCRM_1002",34.32988,-80.69511,3.6,0.026,69,0.000376812
"SCRO_1013",34.70969,-82.46106,1.85,0.237,70,0.003385714
"SCRO_1014",33.29672,-81.85058,2.75,0.245,65,0.003769231
"SCRO_1015",34.3282,-79.32,14.52,0.159,152,0.001046053
"SCS9_0920",33.82362,-80.06803,9.835,2.9635,132,0.023070794
"SCS9_0921",34.7692,-83.01151,1.11,0.2935,48,0.006228147
"SCS9_0922",33.76763,-80.07379,11.5,0.508,72,0.007055556
"SCS9_0923",34.82653,-80.81527,7.43,0.259,194.9,0.001328887
"SCSS_1054",32.72384,-80.49558,40.43,0.022,163,0.000134969
"SCSS_1057",34.66773,-82.10745,1.59,0.092,108,0.000851852
"SCSS_1058",32.46543,-81.03892,22.69,0,71,0
"SCSS_1059",34.80527,-83.16501,0.87,0.075,47.8,0.001569038
"SCSS_1072",34.99476,-81.85857,2.17,0.408,39,0.010461538
"SDLS_1110",43.40178,-100.9843,14.4,0.033,849,3.89e-05
"SDLS_1113",43.27772,-97.29453,5.07,0.631,289,0.002183391
"SDLS_1114",44.06162,-103.6927,1.78,0.012,30,4e-04
"SDLS_1116",44.66904,-103.3561,4.04,1.694,68,0.024911765
"SDLS_1117",43.43648,-102.1837,6.97,0.096,222,0.000432432
"SDLS_1118",44.56442,-103.5312,1.73,0.392,25.6,0.0153125
"SDLS_1119",45.58738,-100.964,9.275,0.0455,166.6,0.000289037
"SDLS_1120",44.73549,-96.953,8.85,0.049,171,0.00028655
"SDR9_0901",45.65636,-100.8508,9.24,0.287,278,0.001032374
"SDR9_0902",42.99859,-97.00442,4.64,0.019,233,8.15e-05
"SDR9_0903",45.7285,-101.9844,10.18,0.085,35.5,0.002394366
"SDR9_0904",45.00144,-98.63766,12.3,0,554,0
"SDR9_0905",44.04386,-101.4511,13.83,0.206,80,0.002575
"SDR9_0907",43.42244,-103.9918,4.69,0,124,0
"SDR9_0909",44.81715,-103.6939,5.43,0,108,0
"SDR9_0910",43.81009,-100.8971,4.62,0.695,3009,0.000230974
"SDR9_0911",45.76411,-100.6831,6.66,0,73,0
"SDR9_0913",42.8542,-97.28016,3.77,0.0875,45,0.0019487505
"SDR9_0915",43.60715,-102.997,3.48,0.019,35,0.000542857
"SDR9_0916",45.35232,-96.70891,11.41,0.314,206,0.001524272
"SDR9_0919",44.39509,-102.8051,6.19,0.533,41,0.013
"SDR9_0920",43.64223,-101.8385,5.17,0,392,0
"SDRF_0001",45.46337,-97.04395,5.32,0.029,126,0.000230159
"SDRF_0002",45.73475,-100.6148,6.39,0.005,62,8.06e-05
"SDRF_0003",45.33649,-103.3416,17.85,0,304,0
"SDRF_0004",43.64373,-101.7829,9.43,0.211,548,0.000385036
"SDRM_1001",45.15509,-102.7526,8.89,0.071,108,0.000657407
"SDRM_1004",43.69165,-97.96684,14.19,0,707,0
"SDRM_1005",43.68389,-100.2087,7.57,0.847,6717,0.000126098
"SDRM_1007",43.27803,-103.7202,4.77,0,86,0
"SDRM_1011",43.39332,-103.3291,1.79,0.223,121,0.001842975
"SDRM_1012",44.23327,-98.12316,13.11,0.005,586,8.53e-06
"SDRM_1013",43.69437,-102.0366,5.3,0,394,0
"SDRM_1014",43.50802,-102.5045,5.4,0,785,0
"SDRM_1016",43.69232,-99.85244,4.93,0.184,2095,8.78e-05
"SDRM_1017",45.18873,-102.2796,5.18,0,67,0
"SDRM_1020",43.54012,-97.82633,12.1,0,385,0
"SDRM_1022",45.69451,-101.6259,8.79,0.043,28,0.001535714
"SDRO_1067",43.47996,-97.13014,8.65,0,283,0
"SDRO_1070",44.03291,-101.5472,17.53,0.861,143,0.006020979
"SDRO_1071",43.96688,-98.98078,14.97,0,305,0
"SDRO_1072",45.54624,-101.8726,11.58,0,206,0
"SDRO_1074",44.10255,-101.0015,13.04,0.171,113,0.001513274
"SDRO_1075",45.24091,-103.1254,8.25,0.057,243,0.000234568
"SDRO_1077",44.63983,-103.2941,4.94,0.254,79,0.00321519
"SDRO_1078",43.32469,-100.8835,5.87,0.424,542,0.000782288
"SDS9_0937",43.24112,-99.18716,9.89,0,139,0
"SDS9_0938",44.15643,-103.2287,2.22,0,74,0
"SDS9_0939",43.07013,-98.8004,4.67,0,55,0
"SDS9_0941",45.56323,-101.5487,12.13,0.4,1349,0.000296516
"SDS9_0942",43.90549,-96.48497,4.15,1.1605,245.4,0.007191158
"SDS9_0944",45.90933,-103.429,18.34,0.05,122.5,0.0006410255
"SDS9_0945",44.05555,-96.98759,18.66,0.001,601.5,1.565e-06
"SDSS_1186",44.68489,-98.29677,12.48,0.074,621,0.000119163
"SDSS_1188",43.82918,-103.4591,2.57,0,87,0
"SDSS_1190",43.958,-99.04698,31.37,0,3410,0
"SDSS_1191",43.98931,-103.7802,5.02,0.024,75,0.00032
"SDSS_1194",44.89092,-96.49758,4.05,0.016,100,0.00016
"SDSS_1195",44.38846,-103.4086,2.9,0,21,0
"SDSS_1196",43.41842,-101.0899,22.21,0.022,1526,1.44e-05
"SDSS_1201",43.04438,-98.72007,3.69,0.053,40,0.001325
"SDSS_1203",44.29952,-103.5739,3.2,0,80,0
"TNLS_1031",36.26538,-82.31631,0.66,0.81,27,0.03
"TNLS_1032",36.43374,-83.12249,3.41,0.166,39,0.00425641
"TNLS_1034",35.88958,-89.29055,8.69,0.393,193.7,0.002028911
"TNR9_0901",36.60637,-85.50504,1.595,0.459,17.5,0.028804348
"TNR9_0902",35.95145,-83.55066,1.64,0.0795,59.5,0.0012794875
"TNR9_0903",35.10401,-85.3609,1.85,0.085,51,0.001666667
"TNR9_0904",35.67241,-87.26333,2.29,0.971,325,0.002987692
"TNR9_0905",36.12508,-83.18162,1.42,0.187,39,0.004794872
"TNRM_1003",35.06895,-85.3396,1.58,0.071,32,0.00221875
"TNRM_1004",36.58865,-85.50778,1.71,0.479,24,0.019958333
"TNRO_1014",35.21876,-84.6515,0.86,0.144,25,0.00576
"TNRO_1015",35.69164,-87.22675,3.57,0.576,817,0.000705018
"TNRO_1017",36.21187,-82.97925,3.09,0.562,94,0.005978723
"TNS9_0919",35.39696,-84.27656,1.1,0.095,29.5,0.00332971
"TNS9_0920",36.18743,-89.09897,10.815,0.2435,461.6,0.0004481125
"TNS9_0921",35.67847,-84.89154,1.44,0.043,31,0.001387097
"TNS9_0922",35.8291,-83.48464,2.16,0.554,45,0.012311111
"TNS9_0923",35.50012,-88.63773,2.61,0.121,56,0.002160714
"TNS9_0924",35.54916,-86.95243,2.52,0.206,145,0.00142069
"TNS9_0926",35.12102,-89.21058,2.02,0.019,115,0.000165217
"TNS9_0927",36.40331,-84.0483,2.1,0.851,50,0.01702
"TNSS_1064",35.07118,-89.85614,5.44,0.205,166,0.00123494
"TNSS_1065",36.25843,-88.67338,5.02,0.006,584.5,1.03e-05
"TNSS_1072",35.48165,-88.06955,1.71,0.209,31,0.006741935
"TNSS_1073",36.07871,-82.5009,1.41,0.191,22,0.008681818
"TNSS_1074",35.34623,-86.863,1.12,0.56,336,0.001666667
"TNSS_1077",36.09756,-87.14259,1.6,0.074,35,0.002114286
"TNSS_1080",35.11606,-88.03373,0.56,0.092,22,0.004181818
"TNSS_1082",35.81328,-83.10316,0.9,0.073,42,0.001738095
"TXLS_1115",32.55527,-95.0233,7.93,0.203,128,0.001585938
"TXLS_1117",31.4733,-100.4694,13.73,0.033,421,7.84e-05
"TXLS_1118",32.63661,-99.66784,8.78,0.005,131,3.82e-05
"TXLS_1119",32.761,-94.30027,5.94,0.207,40,0.005175
"TXLS_1120",29.30338,-97.69902,11.11,0.021,374,5.61e-05
"TXLS_1123",31.12623,-96.24693,2.9,0.194,97,0.002
"TXLS_1131",32.33304,-95.74925,13.53,0.178,207,0.000859903
"TXLS_1132",29.84207,-97.60258,3.9,5.161,1666,0.003097839
"TXLS_1133",30.57732,-99.86389,1.15,0.001,39,2.56e-05
"TXLS_1134",31.85906,-99.20214,6.14,0.003,154,1.95e-05
"TXR9_0902",29.77151,-101.7318,2.125,0.8395,177.5,0.0069527275
"TXR9_0903",33.05566,-97.25306,6.065,0.0235,212.5,0.0001037285
"TXR9_0905",35.97241,-100.8244,2.33,0.025,51,0.000490196
"TXR9_0906",29.15721,-97.38375,9.21,0.557,336,0.001657738
"TXR9_0907",30.57973,-94.99791,5,0.019,85,0.000223529
"TXR9_0909",28.30211,-98.05815,6.87,0.228,202,0.001128713
"TXR9_0910",29.23893,-98.45168,3.98,11.859,1903,0.006231739
"TXR9_0911",31.77034,-103.7793,13.61,1.164,80,0.01455
"TXR9_0912",28.95042,-100.6494,2.4,0.157,73,0.002150685
"TXR9_0914",31.93453,-95.43336,5.94,0.091,79,0.001151899
"TXR9_0915",31.76248,-100.1405,5.59,0,77,0
"TXR9_0916",30.88169,-93.57254,5.08,0.005,75,6.67e-05
"TXR9_0917",28.72577,-99.81584,7.13,0.003,83,3.61e-05
"TXR9_0918",31.55041,-97.09174,5.15,0.009,64,0.000140625
"TXR9_0919",33.29424,-94.05902,8.18,0.022,121,0.000181818
"TXR9_0921",30.47115,-96.13824,7.15,4.573,755,0.006056954
"TXR9_0923",35.45114,-102.0051,0.97,0,35,0
"TXR9_0924",29.44391,-99.99401,0.78,0.121,43,0.002813953
"TXRF_0001",30.26058,-95.09361,10.53,0.1,92,0.001086957
"TXRF_0002",29.40832,-99.32707,1.05,0.003,23,0.000130435
"TXRF_0003",32.28046,-97.97061,1.81,0.018,29,0.00062069
"TXRF_0004",30.28716,-98.89557,1.22,0.046,38,0.001210526
"TXRF_0005",31.94146,-95.87358,3.67,0.227,58,0.003913793
"TXRF_0006",34.93536,-100.6965,11.95,0,45,0
"TXRF_0007",33.30608,-100.5327,7.88,0,116,0
"TXRF_0008",31.21007,-100.462,4.29,0,45,0
"TXRF_0009",31.59062,-98.12713,6.51,0.002,117,1.71e-05
"TXRM_1001",29.02616,-103.3128,3.54,0,137,0
"TXRM_1002",31.33678,-96.97263,7.65,0,113,0
"TXRM_1004",32.78628,-98.19314,4.83,0,28,0
"TXRM_1006",31.37882,-98.77938,6.05,0.008,105,7.62e-05
"TXRM_1010",28.89089,-97.13556,1.83,0.045,100,0.00045
"TXRM_1011",31.73042,-99.93923,4.58,0,114,0
"TXRM_1015",33.23304,-98.90742,6.59,0,26,0
"TXRM_1016",32.61179,-95.48269,9.92,0.323,239,0.001351464
"TXRM_1017",29.61204,-104.4674,4.27,0,135,0
"TXRM_1018",30.46533,-96.33373,4.38,0.145,185,0.000783784
"TXRM_1020",31.49402,-99.60394,6.99,0,60,0
"TXRM_1021",28.64427,-99.78095,7.6,0,70,0
"TXRO_1074",30.83924,-96.72312,3.68,1.256,401,0.00313217
"TXRO_1078",31.53799,-100.1848,6.98,1.038,138,0.007521739
"TXRO_1079",33.05219,-100.7694,8.1,0,110,0
"TXRO_1080",31.49309,-94.83198,7.99,0.039,131.4,0.000296804
"TXRO_1081",31.71477,-98.01866,5.91,0,59,0
"TXRO_1082",33.20418,-97.80536,6.26,0.001,184,5.43e-06
"TXRO_1085",30.67963,-99.02699,3.74,0.001,59,1.69e-05
"TXS9_0926",29.91047,-95.49178,6.135,3.171,2652,0.0012107575
"TXS9_0928",33.75841,-97.29398,2.785,0.007,60.5,0.0001666665
"TXS9_0929",32.46104,-94.70198,5.93,0.017,91.6,0.00018559
"TXS9_0931",31.13182,-99.32021,9.3,0.037,626,5.91e-05
"TXS9_0933",30.6545,-97.92736,2.26,0.002,38,5.26e-05
"TXS9_0934",28.8784,-96.28717,6.42,0.003,136,2.21e-05
"TXS9_0936",32.77924,-96.55449,7.83,0.164,109,0.001504587
"TXS9_0937",33.48298,-97.17612,7.31,0.022,189,0.000116402
"TXS9_0938",31.5161,-95.11218,10.87,0.021,131,0.000160305
"TXS9_0940",32.49662,-97.35227,6.65,14.322,4519,0.003169285
"TXSS_1205",35.39091,-101.8318,6.54,22.029,1072,0.02054944
"TXSS_1206",30.2417,-96.18983,7.08,0.015,201,7.46e-05
"TXSS_1209",35.27405,-100.7662,3.48,0.015,58,0.000258621
"TXSS_1210",30.92768,-97.99342,1.72,0,29,0
"TXSS_1215",31.6532,-94.83843,5.34,0.097,73,0.001328767
"TXSS_1216",32.78727,-96.87091,4.82,0.035,186,0.000188172
"TXSS_1224",33.01654,-96.81408,3.71,0.013,26,5e-04
"TXSS_1229",27.56777,-97.79459,33.46,0,487,0
"TXSS_1232",32.6441,-96.73725,11.54,0.669,42,0.015928571
"TXSS_1240",33.18628,-96.64565,3.11,0.249,39,0.006384615
"TXSS_1243",32.75744,-94.84784,2.58,0.257,88,0.002920455
"UTLS_1058",39.78573,-110.1786,3.38,0.003,263,1.14e-05
"UTLS_1059",38.80907,-111.316,11.01,0,19,0
"UTLS_1061",40.05732,-111.4551,3.05,0.022,91,0.000241758
"UTLS_1062",37.20656,-112.9787,1.09,0.041,54,0.000759259
"UTR9_0901",37.22372,-109.2087,2.895,0.8635,1182,0.000718856
"UTR9_0902",41.59255,-111.1415,10.46,0.007,62,0.000112903
"UTR9_0903",40.98295,-111.4506,3.28,0.003,85,3.53e-05
"UTR9_0904",37.74306,-112.0986,0.8,0.094,18,0.005222222
"UTR9_0905",39.08975,-109.1016,3.2,0.793,522,0.001519157
"UTR9_0906",38.3528,-109.7535,3.635,0.2865,280,0.0014469815
"UTR9_0907",39.30653,-110.4052,6.44,0.648,153,0.004235294
"UTRF_0001",37.55187,-113.4091,2.78,0,102,0
"UTRF_0002",38.18247,-111.1541,1.95,0.001,94,1.06e-05
"UTRF_0003",38.40757,-109.3973,0.81,0.104,28.2,0.003687943
"UTRF_0004",40.49275,-112.5816,1.28,0.254,43,0.005906977
"UTRM_1001",38.7615,-109.3237,4.33,0.964,2357,0.000408994
"UTRM_1002",38.61272,-109.5584,3.58,0.707,2686,0.000263217
"UTRM_1006",39.20959,-110.0732,3.59,0.11,406,0.000270936
"UTRM_1008",37.17928,-113.3778,1.16,0.461,58,0.007948276
"UTRM_1009",37.25537,-109.6218,2.91,0.342,429,0.000797203
"UTRO_1032",37.68596,-112.3997,1.17,0,37,0
"UTRO_1035",37.81354,-112.0533,2.53,0,51,0
"UTRO_1036",40.3391,-110.3033,2.88,0.002,11,0.000181818
"UTRO_1037",40.21278,-109.7976,6.19,0,147,0
"UTS9_0927",39.1334,-110.9467,5.965,0.659,122.3,0.005464007
"UTS9_0928",40.86446,-110.5394,1.75,0.0255,14.5,0.001889423
"UTS9_0929",37.51017,-112.0337,2.42,0.172,21,0.008190476
"UTS9_0930",39.7883,-111.1081,4.57,0,140.6,0
"UTS9_0931",37.07694,-113.597,2.88,2.189,34,0.064382353
"UTS9_0932",41.79318,-113.837,1.53,0.007,103.2,6.78e-05
"UTSS_1100",38.01992,-111.6545,4.11,0.002,41,4.88e-05
"UTSS_1107",37.43042,-112.3516,0.75,0.015,22,0.000681818
"UTSS_1110",39.61126,-111.0646,3.98,0.675,27,0.025
"VAR9_0901",36.9653,-82.0518,1.45,0.53,28,0.018928571
"VAR9_0902",36.87645,-79.06775,1.75,0.1,59,0.001694915
"VAR9_0903",37.31028,-80.68118,1.31,0.289,43,0.00672093
"VAR9_0904",36.76203,-78.87142,2.43,0.037,104,0.000355769
"VAR9_0905",38.30562,-78.90091,1.76,2.304,37,0.06227027
"VAR9_0906",37.59328,-79.38321,2.82,0.1215,20,0.0060732325
"VAR9_0911",37.12219,-79.35359,2.095,0.161,33.5,0.004890713
"VARF_0002",36.93358,-77.20509,7.44,0.2,67,0.002985075
"VARF_0004",38.17742,-79.37615,0.87,0.213,22,0.009681818
"VARF_0005",37.83979,-80.12245,0.84,0.074,20,0.0037
"VARF_0007",38.34204,-77.58924,1.68,0,12,0
"VARF_0008",37.91506,-77.30011,5.08,0.207,39,0.005307692
"VARS11_111",38.9294,-77.8737,1.97,0.003,29,0.000103448
"VARS11_112",37.1379,-77.5003,6.78,0.146,66,0.002212121
"VARS11_113",36.8622,-80.9862,1.05,1.48,43,0.034418605
"VARS11_129",37.8312,-77.1222,4.8,0.268,51,0.005254902
"VARS11_131",36.9366,-80.7462,1.27,0.589,58,0.010155172
"VARS11_139",38.7744,-78.3884,1.49,0.854,28,0.0305
"VARS11_151",36.837,-78.8444,1.32,0.464,119,0.00389916
"VARS11_152",36.6512,-79.3799,1.97,0.243,51,0.004764706
"VARS11_153",39.0741,-78.4385,0.42,0.202,40,0.00505
"VARS11_163",37.5791,-79.5822,4.1,0.081,23,0.003521739
"VARS11_169",36.94,-77.208,6.72,0.209,64,0.003265625
"VARS11_181",37.0034,-78.7594,1.68,0.211,37,0.005702703
"VAS9_0915",38.39533,-77.95542,4.035,0.025,41.5,0.000599884
"VAS9_0916",36.61352,-80.71126,0.89,0.541,34,0.015955844
"VAS9_0917",37.49176,-78.75646,4.08,0.03,49,0.000612245
"VAS9_0918",37.05595,-80.29943,2.65,0.313,130,0.002407692
"VAS9_0919",37.10205,-81.04268,2,0.463,48,0.009645833
"VAS9_0920",38.16237,-77.02402,3.24,0.44,32,0.01375
"VAS9_0921",38.04565,-79.87784,0.84,0.047,18,0.002611111
"VTR9_0901",42.79337,-72.52477,3.48,0.141,29.5,0.0048900965
"VTR9_0902",43.79297,-72.67631,0.86,0.26,7,0.037142857
"VTR9_0904",43.79749,-72.5009,0.91,0.302,18.5,0.017546584
"VTRF_0001",43.94573,-72.71111,1.23,0.221,10,0.0221
"VTRF_0002",44.80659,-72.13678,2.53,0.095,26,0.003653846
"VTRF_0003",43.32959,-72.7984,2.11,0.145,20.9,0.006937799
"VTRS_1002",43.91462,-72.45775,0.87,0.044,18,0.002444444
"VTRS_1003",44.21852,-72.26004,3.62,0.12,26,0.004615385
"VTRS_1004",44.78541,-72.02854,3.53,0.08,31,0.002580645
"VTRS_1005",44.31131,-72.10034,2.43,0.282,31,0.009096774
"VTRS_1006",43.74102,-73.24526,3.9,0.006,25,0.00024
"VTRS_1007",44.43994,-72.71384,1.84,0.258,11,0.023454545
"VTRS_1008",42.96758,-72.80919,1.04,0.168,40.6,0.004137931
"VTRS_1009",44.5708,-71.59714,8.26,0.061,31,0.001967742
"VTRS_1010",43.68427,-72.56365,1.2,0.076,14,0.005428571
"VTRS_1011",44.65121,-72.97038,2.03,0.259,14,0.0185
"VTRS_1012",43.31279,-72.77013,1.29,0.013,17.8,0.000730337
"VTRS_1013",43.89401,-73.04,3.45,0.148,13,0.011384615
"VTRS_1061",43.82188,-72.64266,1.09,0.059,15,0.003933333
"VTS9_0909",43.90351,-72.82532,1.085,0.213,20.5,0.0123049455
"VTS9_0910",43.04999,-72.72147,1.38,0.073,21,0.00347619
"VTS9_0911",42.94639,-72.87178,2.81,0.109,15.8,0.006898734
"VTS9_0917",44.62931,-72.03325,3.155,0.204,23,0.0091542855
"WALS_1067",46.8552,-122.1765,1.59,0.071,33,0.002151515
"WALS_1068",47.57364,-123.5832,0.3,0.027,11,0.002454545
"WALS_1069",48.3454,-118.2804,2.1,0.003,72,4.17e-05
"WALS_1070",47.09141,-120.3099,1.42,0.002,161,1.24e-05
"WALS_1072",47.13147,-123.7646,0.95,0.171,34,0.005029412
"WALS_1073",48.19887,-117.5957,2.18,0.106,51,0.002078431
