SITE_ID,DOC,PTL,NITRATE_N
NLA17_GA_HP002,1.38,NA,NA
NLA17_IA_10001,4.43,NA,NA
NLA17_IA_10001,6.32,NA,NA
NLA17_IA_10002,5.67,NA,NA
NLA17_IA_10003,5.32,NA,NA
NLA17_IA_10004,6.32,NA,NA
NLA17_IA_10005,6.38,NA,NA
NLA17_IA_10005,5.44,NA,NA
NLA17_IA_10006,6.9,NA,NA
NLA17_IA_10007,6.5,NA,NA
NLA17_IA_10028,9.17,NA,NA
NLA17_IA_10029,6.51,NA,NA
NLA17_IA_10030,10.23,NA,NA
NLA17_IA_10031,6.85,NA,NA
NLA17_IA_10034,3.57,NA,NA
NLA17_IA_10038,5.51,NA,NA
NLA17_IA_10039,6.95,NA,NA
NLA17_IA_10041,7.83,NA,NA
NLA17_IA_HP001,3.98,NA,NA
NLA17_IA_HP002,6.49,NA,NA
NLA17_ID_10001,1.96,NA,NA
NLA17_ID_10001,1.98,NA,NA
NLA17_ID_10002,2.56,NA,NA
NLA17_ID_10003,3.81,NA,NA
NLA17_ID_10004,2.83,NA,NA
NLA17_ID_10005,5.5,NA,NA
NLA17_ID_10006,5.53,NA,NA
NLA17_ID_10006,4.87,NA,NA
NLA17_ID_10007,1.63,NA,NA
NLA17_ID_10010,2.96,NA,NA
NLA17_ID_10011,4.85,NA,NA
NLA17_ID_10012,1.12,NA,NA
NLA17_ID_10017,2.54,NA,NA
NLA17_ID_10030,1.79,NA,NA
NLA17_ID_10032,3.95,NA,NA
NLA17_ID_10054,10.47,NA,NA
NLA17_ID_10059,5.25,NA,NA
NLA17_ID_10062,2.61,NA,NA
NLA17_ID_10071,1.41,NA,NA
NLA17_ID_10075,6.31,NA,NA
NLA17_ID_10084,2.55,NA,NA
NLA17_ID_10086,7.6,NA,NA
NLA17_ID_10088,2.46,NA,NA
NLA17_ID_10147,1.02,NA,NA
NLA17_ID_10168,2.5,NA,NA
NLA17_ID_10172,5.09,NA,NA
NLA17_ID_10173,4.3,NA,NA
NLA17_ID_10175,11.47,NA,NA
NLA17_ID_HP001,2.62,NA,NA
NLA17_ID_HP002,1.1,NA,NA
NLA17_IL_10001,6.09,NA,NA
NLA17_IL_10002,3.77,NA,NA
NLA17_IL_10003,5.6,NA,NA
NLA17_IL_10003,4.95,NA,NA
NLA17_IL_10004,3.85,NA,NA
NLA17_IL_10004,3.3,NA,NA
NLA17_IL_10005,5.62,NA,NA
NLA17_IL_10006,3.21,NA,NA
NLA17_IL_10007,4.45,NA,NA
NLA17_IL_10009,4.81,NA,NA
NLA17_IL_10010,5.17,NA,NA
NLA17_IL_10011,6.78,NA,NA
NLA17_IL_10012,6.45,NA,NA
NLA17_IL_10013,4.46,NA,NA
NLA17_IL_10021,3.52,NA,NA
NLA17_IL_HP001,12.52,NA,NA
NLA17_IN_10002,4.03,NA,NA
NLA17_IN_10003,7.62,NA,NA
NLA17_IN_10004,6.05,NA,NA
NLA17_IN_10005,13.15,NA,NA
NLA17_IN_10006,4.38,NA,NA
NLA17_IN_10008,8.97,NA,NA
NLA17_IN_10009,3.24,NA,NA
NLA17_IN_10010,6.85,NA,NA
NLA17_IN_10010,7.35,NA,NA
NLA17_IN_10011,6.72,NA,NA
NLA17_IN_10012,3.84,NA,NA
NLA17_IN_10013,12.01,NA,NA
NLA17_IN_10026,4.89,NA,NA
NLA17_IN_10028,5.1,NA,NA
NLA17_IN_10028,5.1,NA,NA
NLA17_IN_10029,3.53,NA,NA
NLA17_IN_10031,7.19,NA,NA
NLA17_IN_10032,7.66,NA,NA
NLA17_IN_10037,4.9,NA,NA
NLA17_IN_10039,4.67,NA,NA
NLA17_IN_10047,3.22,NA,NA
NLA17_IN_10051,9.56,NA,NA
NLA17_IN_10053,9.47,NA,NA
NLA17_IN_10055,4.35,NA,NA
NLA17_IN_10067,9.99,NA,NA
NLA17_IN_10068,6.53,NA,NA
NLA17_IN_10070,0.53,NA,NA
NLA17_IN_10072,4.94,NA,NA
NLA17_IN_10076,7.8,NA,NA
NLA17_IN_10077,8.22,NA,NA
NLA17_IN_10082,7.31,NA,NA
NLA17_IN_10085,5.59,NA,NA
NLA17_IN_10089,6.57,NA,NA
NLA17_IN_10094,5.37,NA,NA
NLA17_IN_10096,4.8,NA,NA
NLA17_IN_10099,11.36,NA,NA
NLA17_IN_10100,4.27,NA,NA
NLA17_IN_10102,5.4,NA,NA
NLA17_IN_10105,5.71,NA,NA
NLA17_IN_10108,5.41,NA,NA
NLA17_IN_10109,2.37,NA,NA
NLA17_IN_10120,11.25,NA,NA
NLA17_IN_10122,6.15,NA,NA
NLA17_IN_10123,5.67,NA,NA
NLA17_IN_10125,11.05,NA,NA
NLA17_IN_10126,5.87,NA,NA
NLA17_IN_10129,7.98,NA,NA
NLA17_IN_10132,5.8,NA,NA
NLA17_IN_10133,4.18,NA,NA
NLA17_IN_10134,3.19,NA,NA
NLA17_IN_10136,4.19,NA,NA
NLA17_IN_10138,3.49,NA,NA
NLA17_IN_10139,6.47,NA,NA
NLA17_IN_10140,4.85,NA,NA
NLA17_IN_10141,7.81,NA,NA
NLA17_IN_10142,7.33,NA,NA
NLA17_IN_10161,4.79,NA,NA
NLA17_IN_10171,9.36,NA,NA
NLA17_IN_10173,6.36,NA,NA
NLA17_IN_10175,9.78,NA,NA
NLA17_KS_10001,8.54,NA,NA
NLA17_KS_10001,7.63,NA,NA
NLA17_KS_10002,6.68,NA,NA
NLA17_KS_10003,3.56,NA,NA
NLA17_KS_10004,5.37,NA,NA
NLA17_KS_10005,7.15,NA,NA
NLA17_KS_10005,6.46,NA,NA
NLA17_KS_10006,5.5,NA,NA
NLA17_KS_10007,3.69,NA,NA
NLA17_KS_10010,5.81,NA,NA
NLA17_KS_10011,6.17,NA,NA
NLA17_KS_10025,7.82,NA,NA
NLA17_KS_10028,7.65,NA,NA
NLA17_KS_10033,9.54,NA,NA
NLA17_KS_10034,5.2,NA,NA
NLA17_KS_10035,8.01,NA,NA
NLA17_KS_10041,3.41,NA,NA
NLA17_KS_HP001,3.33,NA,NA
NLA17_KS_HP002,3.88,NA,NA
NLA17_KS_HP003,7.37,NA,NA
NLA17_KY_10001,1.98,NA,NA
NLA17_KY_10001,1.29,NA,NA
NLA17_KY_10002,2.61,NA,NA
NLA17_KY_10003,10.82,NA,NA
NLA17_KY_10003,13.49,NA,NA
NLA17_KY_10004,5.19,NA,NA
NLA17_KY_10006,3.33,NA,NA
NLA17_KY_10017,5.38,NA,NA
NLA17_KY_10023,4.53,NA,NA
NLA17_KY_10024,2.8,NA,NA
NLA17_KY_10027,6.96,NA,NA
NLA17_LA_10001,5.55,NA,NA
NLA17_LA_10001,5.19,NA,NA
NLA17_LA_10002,6.02,NA,NA
NLA17_LA_10004,6.42,NA,NA
NLA17_LA_10004,5.13,NA,NA
NLA17_LA_10006,5.33,NA,NA
NLA17_LA_10007,4.48,NA,NA
NLA17_LA_10015,6.23,NA,NA
NLA17_LA_10018,10.91,NA,NA
NLA17_LA_10024,4.59,NA,NA
NLA17_LA_10046,4.79,NA,NA
NLA17_LA_10075,6.07,NA,NA
NLA17_LA_10108,5.32,NA,NA
NLA17_LA_10155,4.74,NA,NA
NLA17_LA_10231,6.01,NA,NA
NLA17_LA_10303,7.51,NA,NA
NLA17_MA_10001,2.54,NA,NA
NLA17_MA_10001,2.56,NA,NA
NLA17_MA_10002,5.89,NA,NA
NLA17_MA_10003,5.08,NA,NA
NLA17_MA_10004,6.55,NA,NA
NLA17_MA_10004,6.07,NA,NA
NLA17_MA_10005,2.52,NA,NA
NLA17_MA_10007,4.41,NA,NA
NLA17_MA_10017,11.32,NA,NA
NLA17_MA_10018,5.14,NA,NA
NLA17_MA_10019,3.13,NA,NA
NLA17_MA_10022,4.79,NA,NA
NLA17_MA_HP001,8.52,NA,NA
NLA17_MD_10001,3.55,NA,NA
NLA17_MD_10001,3.5,NA,NA
NLA17_MD_10002,2.08,NA,NA
NLA17_MD_10003,3.53,NA,NA
NLA17_MD_10003,4.99,NA,NA
NLA17_MD_10004,11.32,NA,NA
NLA17_MD_10015,6.7,NA,NA
NLA17_MD_10026,2.4,NA,NA
NLA17_MD_10034,4.38,NA,NA
NLA17_MD_10038,8.41,NA,NA
NLA17_ME_10001,4.26,NA,NA
NLA17_ME_10001,3.99,NA,NA
NLA17_ME_10002,2.98,NA,NA
NLA17_ME_10003,6.01,NA,NA
NLA17_ME_10004,8.12,NA,NA
NLA17_ME_10006,2.44,NA,NA
NLA17_ME_10007,7.03,NA,NA
NLA17_ME_10007,7.18,NA,NA
NLA17_ME_10009,3.98,NA,NA
NLA17_ME_10010,7.34,NA,NA
NLA17_ME_10011,8.79,NA,NA
NLA17_ME_10014,8.68,NA,NA
NLA17_ME_10016,9.1,NA,NA
NLA17_ME_10018,6.66,NA,NA
NLA17_ME_10019,13.11,NA,NA
NLA17_ME_10020,6.69,NA,NA
NLA17_ME_10021,5.6,NA,NA
NLA17_ME_10023,5.6,NA,NA
NLA17_ME_10025,3.7,NA,NA
NLA17_ME_10029,3.85,NA,NA
NLA17_ME_10030,4.23,NA,NA
NLA17_ME_10038,10.95,NA,NA
NLA17_ME_10039,2.69,NA,NA
NLA17_ME_10040,8.55,NA,NA
NLA17_ME_10042,10.64,NA,NA
NLA17_ME_10043,4.86,NA,NA
NLA17_ME_HP001,4.57,NA,NA
NLA17_ME_HP002,8.86,NA,NA
NLA17_ME_HP003,4.77,NA,NA
NLA17_MI_10001,5.64,NA,NA
NLA17_MI_10001,6.04,NA,NA
NLA17_MI_10002,3.04,NA,NA
NLA17_MI_10003,7.24,NA,NA
NLA17_MI_10004,4.98,NA,NA
NLA17_MI_10005,7.5,NA,NA
NLA17_MI_10006,8.99,NA,NA
NLA17_MI_10007,6.57,NA,NA
NLA17_MI_10008,5.43,NA,NA
NLA17_MI_10009,8.97,NA,NA
NLA17_MI_10010,3.77,NA,NA
NLA17_MI_10011,5.29,NA,NA
NLA17_MI_10011,5.8,NA,NA
NLA17_MI_10012,7,NA,NA
NLA17_MI_10013,3.11,NA,NA
NLA17_MI_10014,13.3,NA,NA
NLA17_MI_10015,8.79,NA,NA
NLA17_MI_10016,4.83,NA,NA
NLA17_MI_10017,5.28,NA,NA
NLA17_MI_10018,5.5,NA,NA
NLA17_MI_10019,2.91,NA,NA
NLA17_MI_10023,10.25,NA,NA
NLA17_MI_10025,5.22,NA,NA
NLA17_MI_10027,3.23,NA,NA
NLA17_MI_10028,6.88,NA,NA
NLA17_MI_10029,5.08,NA,NA
NLA17_MI_10030,6.86,NA,NA
NLA17_MI_10035,21.38,NA,NA
NLA17_MI_10036,10.48,NA,NA
NLA17_MI_10073,10.75,NA,NA
NLA17_MI_10078,7.85,NA,NA
NLA17_MI_10083,6.4,NA,NA
NLA17_MI_10084,7.39,NA,NA
NLA17_MI_10087,5.71,NA,NA
NLA17_MI_10089,17.13,NA,NA
NLA17_MI_10091,13.37,NA,NA
NLA17_MI_10092,14.26,NA,NA
NLA17_MI_10094,9.56,NA,NA
NLA17_MI_10095,6.27,NA,NA
NLA17_MI_10097,12.64,NA,NA
NLA17_MI_10099,5.24,NA,NA
NLA17_MI_10110,15.02,NA,NA
NLA17_MI_10115,5.14,NA,NA
NLA17_MI_10117,8.44,NA,NA
NLA17_MI_10118,9.37,NA,NA
NLA17_MI_10121,5.28,NA,NA
NLA17_MI_10122,8.21,NA,NA
NLA17_MI_10123,8.44,NA,NA
NLA17_MI_10127,13.02,NA,NA
NLA17_MI_10133,17.03,NA,NA
NLA17_MI_10134,9.65,NA,NA
NLA17_MI_10141,13.31,NA,NA
NLA17_MI_HP001,4.7,NA,NA
NLA17_MN_10001,9.81,NA,NA
NLA17_MN_10001,9.49,NA,NA
NLA17_MN_10002,11.48,NA,NA
NLA17_MN_10003,15.14,NA,NA
NLA17_MN_10004,5.95,NA,NA
NLA17_MN_10005,7.77,NA,NA
NLA17_MN_10006,6.97,NA,NA
NLA17_MN_10007,4.62,NA,NA
