Station,Lon,Lat,Cruise,jd,Alk,pCO2,O2,DOC,FPOC,CPOC,NO3,TDN,FPON,CPON,PO4,TDP,FSS,CSS,pH,O18,DIC13,CPOC13,FPOC13,Si,Ca,Na,Mg,K,Cl,S,NtoP
SJA,-58.9882,-3.2402,Cruise 3,344,582,107,182,3.6,2.5,0.5,17.5,26.4,18.4,1.3,0.7,1.5,252,13,7.08,-5.6,-12.4,-28.4,-27,NA,267,115,60,29,115,NA,25
SJA,-58.9882,-3.2402,Cruise 4,460,685,124,138,3.6,2.4,0.4,10.3,24.4,17.7,1,0.5,1.6,212,14,7.09,-4.6,-13.8,-28.7,-27.1,NA,281,125,57,28,66,NA,20.6
SJA,-58.9882,-3.2402,Cruise 5,557,438,251,126,5,2,0.3,6.5,21.6,17,1.5,0.6,1.1,135,40,6.58,-4.7,-16.5,-27.3,-28.2,136,169,112,35,18,137,NA,10.83333333
SJA,-58.9882,-3.2402,Cruise 6,679,423,83,191,3.5,1.5,0.3,14.6,22.3,11.9,1,1.2,1.1,133,12,7.05,-3.7,-14.1,-27.5,-27.4,138,135,153,29,14,89,NA,12.16666667
SJA,-58.9882,-3.2402,Cruise 7,791,535,158,167,4.7,2.5,0.3,11.7,22.1,22.5,1.1,0.7,1.3,225,20,6.87,-5.6,-13.9,-28.9,-27.3,119,222,87,50,22,55,NA,16.71428571
SJA,-58.9882,-3.2402,Cruise 8,940,469,211,140,4.6,1.2,0.4,7.1,30.7,8.7,1.6,0.5,1.2,106,52,6.71,-6.5,-16.6,-27.8,-27.9,121,76,110,36,20,48,NA,14.2
SJA,-58.9882,-3.2402,Cruise 9,1321,303,170,160,5.8,NA,NA,8.2,NA,NA,NA,0.7,NA,110,45,6.23,NA,NA,NA,NA,122,NA,NA,NA,NA,NA,NA,11.71428571
SJA,-58.9882,-3.2402,Cruise 11,2532,336,123,6,NA,2.2,0.3,13.1,NA,15.4,0.9,0.5,NA,168,18,6.78,NA,NA,NA,NA,127,NA,NA,NA,NA,NA,NA,26.2
SJA,-58.9882,-3.2402,Cruise 12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SJA,-58.9882,-3.2402,Cruise 13,NA,262,178,NA,6.9,NA,NA,5.9,NA,NA,NA,0.5,NA,NA,NA,6.46,NA,NA,NA,NA,127,NA,NA,NA,NA,NA,NA,11.8
Tup,-65.868,-2.5055,Cruise 1,125,774,311,169,4.4,2.7,0.6,7,22.4,20.6,2.7,1.1,1,235,101,6.74,-8.7,NA,NA,NA,NA,375,136,61,35,77,NA,6.363636364
Tup,-65.868,-2.5055,Cruise 2,231,639,86,193,3,2.5,0.5,12.9,17.5,17.7,1.3,0.8,1.7,185,30,7.22,-6,-13.3,-28.1,-27.3,NA,274,187,52,25,120,NA,16.125
Tup,-65.868,-2.5055,Cruise 3,335,806,102,172,3.2,4.2,0.9,16.7,26.3,30.6,3.6,1,0.9,419,136,7.24,-6.4,-12.1,-27.8,-26.8,NA,282,465,65,35,88,NA,16.7
Tup,-65.868,-2.5055,Cruise 4,449,874,99,135,3.5,3.8,0.8,13,23.4,27,2.4,0.6,1.4,338,82,7.29,-5.3,-12.6,-27.8,NA,NA,441,176,72,27,95,NA,21.66666667
Tup,-65.868,-2.5055,Cruise 5,546,866,179,144,3.4,3.1,0.6,13.1,26.3,27.2,2.3,0.8,1.2,233,54,7.03,-5.8,-14.1,-27.8,-27.1,167,341,186,63,27,196,NA,16.375
Tup,-65.868,-2.5055,Cruise 6,668,683,64,191,3.2,2.8,0.7,15,25.6,22.8,2.4,1,1.4,211,63,7.37,-3,-12.7,-27.8,-27,169,309,241,65,28,156,NA,15
Tup,-65.868,-2.5055,Cruise 7,780,823,131,169,3.9,4.5,0.7,17.5,25.4,35.5,3.4,0.8,1.7,414,119,7.14,-6.3,-12.9,-27.7,-27.1,138,377,171,72,26,130,NA,21.875
Tup,-65.868,-2.5055,Cruise 8,926,755,114,166,2.8,2.1,0.4,10.3,29.9,15.1,1.3,0.9,1.5,200,45,7.17,-7.2,-13.9,-28.5,-27.5,155,330,168,66,29,111,NA,11.44444444
Tup,-65.868,-2.5055,Cruise 9,1313,669,90,180,3.5,NA,NA,12.9,NA,NA,NA,0.8,NA,224,37,7.21,NA,NA,NA,NA,144,NA,NA,NA,NA,NA,NA,16.125
Tup,-65.868,-2.5055,Cruise 11,2520,653,112,5,6,3.6,0.9,15.3,NA,21.9,3.1,0.6,NA,313,101,7.11,NA,NA,NA,NA,148,NA,NA,NA,NA,NA,NA,25.5
Tup,-65.868,-2.5055,Cruise 12,NA,NA,NA,NA,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tup,-65.868,-2.5055,Cruise 13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VGr,-67.8524,-3.2839,Cruise 1,121,1095,133,177,4.7,3.4,1.1,7.4,24.8,23.7,4.7,0.8,0.9,282,205,7.26,-8.9,NA,NA,NA,NA,482,150,78,36,279,NA,9.25
VGr,-67.8524,-3.2839,Cruise 2,226,795,72,239,3.2,2.6,0.9,14,20,17.6,2.8,0.9,1.4,217,59,7.38,-6.8,-12.5,-28.2,-27,NA,349,125,65,28,173,NA,15.55555556
VGr,-67.8524,-3.2839,Cruise 3,331,986,89,205,3.2,4.7,0.8,17.3,25.3,34.6,3.2,0.9,1,470,136,7.39,-6.8,-11.6,-27.3,-26.5,NA,450,593,82,36,128,NA,19.22222222
VGr,-67.8524,-3.2839,Cruise 4,446,1013,87,148,3.6,4.6,0.9,14,19.5,34.1,3.4,0.7,1.3,436,92,7.41,-5.6,-11.9,-27.6,-26.4,NA,538,212,83,31,116,NA,20
VGr,-67.8524,-3.2839,Cruise 5,543,1060,157,168,3.1,3.3,0.6,14.2,20.6,26.6,2.3,1.2,1.7,299,41,7.18,-6.1,-13.1,-27.7,-27.2,168,465,227,82,30,251,NA,11.83333333
VGr,-67.8524,-3.2839,Cruise 6,665,850,67,183,3,2.8,0.6,15.5,23.9,22.1,2.1,1.2,1.3,232,44,7.45,-4.5,-12.2,-27.3,-26.8,183,374,241,77,26,188,NA,12.91666667
VGr,-67.8524,-3.2839,Cruise 7,776,1029,93,177,3.9,5,0.8,14.9,23,41.6,3,0.8,2.2,486,106,7.39,-6.6,-12,-28.1,-26.8,143,494,204,85,30,136,NA,18.625
VGr,-67.8524,-3.2839,Cruise 8,923,910,89,168,2.9,2.7,0.5,12.8,25,16.5,2,1,1.5,252,71,7.36,-7.5,-13.2,-28.4,-27,166,414,217,78,31,194,NA,12.8
VGr,-67.8524,-3.2839,Cruise 9,1310,896,80,160,4.8,NA,NA,14.2,NA,NA,NA,1,NA,269,73,7.37,NA,NA,NA,NA,196,NA,NA,NA,NA,NA,NA,14.2
VGr,-67.8524,-3.2839,Cruise 11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VGr,-67.8524,-3.2839,Cruise 12,3032,858,182,133,4.6,3.2,1.8,9.5,NA,26.4,6.3,0.4,NA,291,101,7.02,NA,NA,NA,NA,142,NA,NA,NA,NA,NA,NA,23.75
VGr,-67.8524,-3.2839,Cruise 13,3511,1269,90,NA,2.7,NA,NA,17.1,NA,NA,NA,0.9,NA,203,NA,7.49,NA,NA,NA,NA,225,NA,NA,NA,NA,NA,NA,19
Xib,-67.1972,-2.5855,Cruise 1,123,924,363,175,4.1,3,0.5,8.8,23.5,22.8,2.2,1,1.1,235,80,6.74,-8.7,NA,NA,NA,NA,402,138,67,35,156,33,8.8
Xib,-67.1972,-2.5855,Cruise 2,229,647,75,206,2.9,1.8,0.5,13,17.6,13.3,1.3,0.9,1,150,58,7.32,-6.9,-13.7,-28.3,-27.4,NA,283,191,54,24,130,NA,14.44444444
Xib,-67.1972,-2.5855,Cruise 3,334,840,94,190,3.2,4.1,0.9,17.5,30.8,30,3.1,0.8,0.9,419,129,7.3,-6.5,-12.1,-27.7,-26.8,NA,399,321,77,32,110,NA,21.875
Xib,-67.1972,-2.5855,Cruise 4,448,923,88,138,3.4,4,0.9,12.8,23,29.6,3.2,0.6,1.8,379,79,7.37,-5.3,-12.5,-27.1,NA,NA,465,179,74,28,93,NA,21.33333333
Xib,-67.1972,-2.5855,Cruise 5,545,873,143,154,3.3,2.7,0.6,12.8,22.5,22.7,2.5,0.9,1.4,233,55,7.13,-5.9,-13.7,-28.1,-27.4,158,371,203,68,26,200,NA,14.22222222
Xib,-67.1972,-2.5855,Cruise 6,667,699,97,189,3.2,2.5,0.6,14.4,22.1,18.5,2.7,1.1,1.2,216,88,7.2,-4.4,-12.7,-27.5,-27,166,295,226,62,21,141,NA,13.09090909
Xib,-67.1972,-2.5855,Cruise 7,778,881,105,175,3.6,4.5,0.9,15,24.4,34.6,4.3,0.9,1.8,441,100,7.27,-6.4,-12.5,-27.6,-27,135,404,179,74,27,123,NA,16.66666667
Xib,-67.1972,-2.5855,Cruise 8,925,780,103,170,2.7,2.3,0.6,12.1,27.4,16.7,2.3,0.8,1.4,222,58,7.22,-7.2,-13.7,-28.3,-27.4,155,345,180,68,36,121,NA,15.125
Xib,-67.1972,-2.5855,Cruise 9,1312,720,90,180,3.7,NA,NA,13.2,NA,NA,NA,1,NA,252,69,7.25,NA,NA,NA,NA,165,NA,NA,NA,NA,NA,NA,13.2
Xib,-67.1972,-2.5855,Cruise 11,2518,660,106,5,5.2,3.5,0.6,14.6,NA,26.6,2.1,0.6,NA,287,77,7.14,NA,NA,NA,NA,150,NA,NA,NA,NA,NA,NA,24.33333333
Xib,-67.1972,-2.5855,Cruise 12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Xib,-67.1972,-2.5855,Cruise 13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
