PUBLICATION_DATE,UID,SITE_ID,DATE_COL,VISIT_NO,STUDY,STATE,LAB,SAMPLE_TYPE,MATRIX,BATCH_ID,ANALYTE,SAM_CODE,RESULT,RESULT_UNITS,MDL,RL,NARS_FLAG,DATE_RECEIVED,DATE_ANALYZED,HOLDING_TIME,LAB_SAMPLE_ID,LAB_COMMENT
4/9/2021,2010702,NLA17_AZ-10006,08-Aug-17,2,NLA,AZ,WRS,CHEM,WATER,170828.1,DOC,REGULAR,10.65,MG/L,0.008,0.2,,10-Aug-17,28-Aug-17,20,,
4/9/2021,2011110,NLA17_AZ-10006,13-Jul-17,1,NLA,AZ,WRS,CHEM,WATER,170802.1,DOC,REGULAR,11.1,MG/L,0.008,0.2,,15-Jul-17,02-Aug-17,20,,
4/9/2021,2010898,NLA17_AZ-10007,12-Sep-17,1,NLA,AZ,WRS,CHEM,WATER,170920.1,DOC,REGULAR,8.74,MG/L,0.008,0.2,,13-Sep-17,20-Sep-17,8,,
4/9/2021,2010376,NLA17_AZ-10012,28-Jun-17,1,NLA,AZ,WRS,CHEM,WATER,170714.1,DOC,REGULAR,12.34,MG/L,0.008,0.2,,30-Jun-17,14-Jul-17,16,,
4/9/2021,2010337,NLA17_AZ-10021,21-Jun-17,1,NLA,AZ,WRS,CHEM,WATER,170703.1,DOC,REGULAR,7.33,MG/L,0.008,0.2,,23-Jun-17,03-Jul-17,12,,
4/9/2021,2010972,NLA17_AZ-10035,11-May-17,1,NLA,AZ,WRS,CHEM,WATER,170524.1,DOC,REGULAR,6.11,MG/L,0.008,0.2,,13-May-17,24-May-17,13,,
4/9/2021,2010971,NLA17_AZ-10041,02-May-17,1,NLA,AZ,WRS,CHEM,WATER,170524.1,DOC,REGULAR,5.03,MG/L,0.008,0.2,,04-May-17,24-May-17,22,,
4/9/2021,2011502,NLA17_AZ-10090,26-Sep-17,1,NLA,AZ,WRS,CHEM,WATER,171019.1,DOC,REGULAR,7.56,MG/L,0.008,0.2,,28-Sep-17,19-Oct-17,23,,
4/9/2021,2011217,NLA17_AZ-10100,26-Jul-17,1,NLA,AZ,WRS,CHEM,WATER,170814.1,DOC,REGULAR,5.05,MG/L,0.008,0.2,,28-Jul-17,14-Aug-17,19,,
4/9/2021,2010208,NLA17_CA-10001,06-Jun-17,1,NLA,CA,WRS,CHEM,WATER,170608.1,DOC,REGULAR,4.16,MG/L,0.008,0.2,,07-Jun-17,08-Jun-17,2,,
4/9/2021,2010683,NLA17_CA-10001,07-Aug-17,2,NLA,CA,WRS,CHEM,WATER,170825.1,DOC,REGULAR,3.7,MG/L,0.008,0.2,,08-Aug-17,25-Aug-17,18,,
4/9/2021,2010532,NLA17_CA-10002,18-Jul-17,1,NLA,CA,WRS,CHEM,WATER,170804.1,DOC,REGULAR,1.3,MG/L,0.008,0.2,,20-Jul-17,04-Aug-17,17,,
4/9/2021,2010228,NLA17_CA-10003,12-Jun-17,1,NLA,CA,WRS,CHEM,WATER,170623.1,DOC,REGULAR,3.31,MG/L,0.008,0.2,,13-Jun-17,23-Jun-17,11,,
4/9/2021,2010855,NLA17_CA-10004,05-Sep-17,1,NLA,CA,WRS,CHEM,WATER,170918.1,DOC,REGULAR,5.64,MG/L,0.008,0.2,,07-Sep-17,18-Sep-17,13,,
4/9/2021,2010442,NLA17_CA-10005,10-Jul-17,1,NLA,CA,WRS,CHEM,WATER,170728.1,DOC,REGULAR,5.52,MG/L,0.008,0.2,,12-Jul-17,28-Jul-17,18,,
4/9/2021,2010799,NLA17_CA-10005,23-Aug-17,2,NLA,CA,WRS,CHEM,WATER,170906.1,DOC,REGULAR,6.56,MG/L,0.008,0.2,,24-Aug-17,06-Sep-17,14,,
4/9/2021,2010330,NLA17_CA-10006,21-Jun-17,1,NLA,CA,WRS,CHEM,WATER,170705.1,DOC,REGULAR,2.4,MG/L,0.008,0.2,,23-Jun-17,05-Jul-17,14,,
4/9/2021,2010278,NLA17_CA-10007,19-Jun-17,1,NLA,CA,WRS,CHEM,WATER,170630.1,DOC,REGULAR,5.56,MG/L,0.008,0.2,,21-Jun-17,30-Jun-17,11,,
4/9/2021,2010408,NLA17_CA-10008,05-Jul-17,1,NLA,CA,WRS,CHEM,WATER,170728.1,DOC,REGULAR,1.85,MG/L,0.008,0.2,S,08-Jul-17,28-Jul-17,23,,
4/9/2021,2010533,NLA17_CA-10009,19-Jul-17,1,NLA,CA,WRS,CHEM,WATER,170807.1,DOC,REGULAR,2.36,MG/L,0.008,0.2,,21-Jul-17,07-Aug-17,19,,
4/9/2021,2010296,NLA17_CA-10010,20-Jun-17,1,NLA,CA,WRS,CHEM,WATER,170703.1,DOC,REGULAR,1.65,MG/L,0.008,0.2,,22-Jun-17,03-Jul-17,13,,
4/9/2021,2010272,NLA17_CA-10011,13-Jun-17,1,NLA,CA,WRS,CHEM,WATER,170626.1,DOC,REGULAR,5.52,MG/L,0.008,0.2,,15-Jun-17,26-Jun-17,13,,
4/9/2021,2010409,NLA17_CA-10012,05-Jul-17,1,NLA,CA,WRS,CHEM,WATER,170724.1,DOC,REGULAR,1.14,MG/L,0.008,0.2,,07-Jul-17,24-Jul-17,19,,
4/9/2021,2010765,NLA17_CA-10020,15-Aug-17,1,NLA,CA,WRS,CHEM,WATER,170901.1,DOC,REGULAR,2.53,MG/L,0.008,0.2,,17-Aug-17,01-Sep-17,17,,
4/9/2021,2010446,NLA17_CA-10021,11-Jul-17,1,NLA,CA,WRS,CHEM,WATER,170731.1,DOC,REGULAR,16.11,MG/L,0.008,0.2,,13-Jul-17,31-Jul-17,20,,
4/9/2021,2011391,NLA17_CA-10033,02-Aug-17,1,NLA,CA,WRS,CHEM,WATER,170825.1,DOC,REGULAR,1.24,MG/L,0.008,0.2,,04-Aug-17,25-Aug-17,23,,
4/9/2021,2011482,NLA17_CA-10035,31-Aug-17,1,NLA,CA,WRS,CHEM,WATER,170913.1,DOC,REGULAR,4.18,MG/L,0.008,0.2,,02-Sep-17,13-Sep-17,13,,
4/9/2021,2011497,NLA17_CA-10052,25-Sep-17,1,NLA,CA,WRS,CHEM,WATER,171019.1,DOC,REGULAR,4.02,MG/L,0.008,0.2,,27-Sep-17,19-Oct-17,24,,
4/9/2021,2010791,NLA17_CA-10054,22-Aug-17,1,NLA,CA,WRS,CHEM,WATER,170906.1,DOC,REGULAR,8.24,MG/L,0.008,0.2,,23-Aug-17,06-Sep-17,15,,
4/9/2021,2010411,NLA17_CA-10055,06-Jul-17,1,NLA,CA,WRS,CHEM,WATER,170724.1,DOC,REGULAR,6.73,MG/L,0.008,0.2,,07-Jul-17,24-Jul-17,18,,
4/9/2021,2010770,NLA17_CA-10062,17-Aug-17,1,NLA,CA,WRS,CHEM,WATER,170901.1,DOC,REGULAR,3.32,MG/L,0.008,0.2,,18-Aug-17,01-Sep-17,15,,
4/9/2021,2010186,NLA17_CA-10064,05-Jun-17,1,NLA,CA,WRS,CHEM,WATER,170614.1,DOC,REGULAR,4,MG/L,0.008,0.2,,07-Jun-17,14-Jun-17,9,,
4/9/2021,2010905,NLA17_CA-10068,13-Sep-17,1,NLA,CA,WRS,CHEM,WATER,170925.1,DOC,REGULAR,1.14,MG/L,0.008,0.2,,14-Sep-17,25-Sep-17,12,,
4/9/2021,2010901,NLA17_CA-10069,12-Sep-17,1,NLA,CA,WRS,CHEM,WATER,170920.1,DOC,REGULAR,10.76,MG/L,0.008,0.2,,13-Sep-17,20-Sep-17,8,,
4/9/2021,2010257,NLA17_CA-10081,14-Jun-17,1,NLA,CA,WRS,CHEM,WATER,170626.1,DOC,REGULAR,4.01,MG/L,0.008,0.2,,16-Jun-17,26-Jun-17,12,,
4/9/2021,2010218,NLA17_CA-10082,07-Jun-17,1,NLA,CA,WRS,CHEM,WATER,170614.1,DOC,REGULAR,6.27,MG/L,0.008,0.2,,09-Jun-17,14-Jun-17,7,,
4/9/2021,2010766,NLA17_CA-10089,16-Aug-17,1,NLA,CA,WRS,CHEM,WATER,170906.1,DOC,REGULAR,12.57,MG/L,0.008,0.2,,18-Aug-17,06-Sep-17,21,,
4/9/2021,2011481,NLA17_CA-HP001,29-Aug-17,1,NLA,CA,WRS,CHEM,WATER,170913.1,DOC,REGULAR,1.44,MG/L,0.008,0.2,,31-Aug-17,13-Sep-17,15,,
4/9/2021,2011392,NLA17_CA-HP002,03-Aug-17,1,NLA,CA,WRS,CHEM,WATER,170825.1,DOC,REGULAR,4.3,MG/L,0.008,0.2,,05-Aug-17,25-Aug-17,22,,
4/9/2021,2010591,NLA17_CO-10002,26-Jul-17,1,NLA,CO,WRS,CHEM,WATER,170811.1,DOC,REGULAR,3.35,MG/L,0.008,0.2,,27-Jul-17,11-Aug-17,16,,
4/9/2021,2010554,NLA17_CO-10003,21-Jul-17,1,NLA,CO,WRS,CHEM,WATER,170809.1,DOC,REGULAR,0.99,MG/L,0.008,0.2,,22-Jul-17,09-Aug-17,19,,
4/9/2021,2010645,NLA17_CO-10004,01-Aug-17,1,NLA,CO,WRS,CHEM,WATER,170822.1,DOC,REGULAR,13.73,MG/L,0.008,0.2,,02-Aug-17,22-Aug-17,21,,
4/9/2021,2010556,NLA17_CO-10005,21-Jul-17,1,NLA,CO,WRS,CHEM,WATER,170807.1,DOC,REGULAR,4.7,MG/L,0.008,0.2,,22-Jul-17,07-Aug-17,17,,
4/9/2021,2011170,NLA17_CO-10006,23-Jul-17,1,NLA,CO,WRS,CHEM,WATER,170809.1,DOC,REGULAR,2.29,MG/L,0.008,0.2,,25-Jul-17,09-Aug-17,17,,
4/9/2021,2010622,NLA17_CO-10007,28-Jul-17,1,NLA,CO,WRS,CHEM,WATER,170814.1,DOC,REGULAR,6.73,MG/L,0.008,0.2,,29-Jul-17,14-Aug-17,17,,
4/9/2021,2010555,NLA17_CO-10008,20-Jul-17,1,NLA,CO,WRS,CHEM,WATER,170809.1,DOC,REGULAR,8.22,MG/L,0.008,0.2,,22-Jul-17,09-Aug-17,20,,
4/9/2021,2010497,NLA17_CO-10009,16-Jul-17,1,NLA,CO,WRS,CHEM,WATER,170802.1,DOC,REGULAR,5.88,MG/L,0.008,0.2,,18-Jul-17,02-Aug-17,17,,
4/9/2021,2011238,NLA17_CO-10009,31-Jul-17,2,NLA,CO,WRS,CHEM,WATER,170822.1,DOC,REGULAR,5.67,MG/L,0.008,0.2,,02-Aug-17,22-Aug-17,22,,Ice in cubitainer
